PERMNO,date,BIDLO,ASKHI,PRC,OPENPRC,BID,ASK,VOL
70519,1/3/2007,547.2,562.8,552.5,556.6,552.4,552.6,22821100
70519,1/4/2007,547.2,561.5,550.6,552.5,550.4,550.5,16586800
70519,1/5/2007,544.6,550.5,547.7,550,547.7,548.5,13178800
70519,1/8/2007,543,551.5,550.5,546,550,550.3,12369500
70519,1/9/2007,541.9,551.5,545.7,550.1,545.6,545.7,19658100
70519,1/10/2007,539.5,544.9,541.3,542.7,541,541.2,17448600
70519,1/11/2007,538,543.9,541.7,542.7,541.8,542.1,14510500
70519,1/12/2007,540,545.5,543.8,540.2,543.9,544.3,18429600
70519,1/16/2007,543.4,548.1,547.7,546.3,547.2,547.5,12552000
70519,1/17/2007,542.8,550.8,543.9,550,543.9,544.3,14045200
70519,1/18/2007,540.7,547.1,543.9,545,543.4,543.8,17615300
70519,1/19/2007,535,545.1,545,540,544.5,544.6,23955800
70519,1/22/2007,546.6,555.3,546.8,551.7,546.7,546.8,28082900
70519,1/23/2007,543,548,544.9,546.5,544.8,544.9,16265700
70519,1/24/2007,542.7,548.4,548.3,545,548,548.5,15863600
70519,1/25/2007,538.4,548.8,539.3,547,539.3,539.4,19026800
70519,1/26/2007,535.2,546.7,546.7,539.3,546.2,546.5,21100900
70519,1/29/2007,539.5,546,540.6,544.5,540.6,540.7,22206800
70519,1/30/2007,538,543.2,542.7,539,542.8,543.2,16921400
70519,1/31/2007,540.2,552.9,551.3,540.3,551.4,551.6,18156100
70519,2/1/2007,543,551.6,547.3,551.3,547,547.1,18755050
70519,2/2/2007,543.2,549.4,546.6,547.3,546.4,546.6,12585600
70519,2/5/2007,544.1,551.9,547.5,545.5,547,547.1,16588100
70519,2/6/2007,547.2,555,549.5,547.5,549.5,549.7,15536200
70519,2/7/2007,548.265,551.9,549.5,549.4,549.8,549.9,11996000
70519,2/8/2007,541.5,547.8,544.4,547.2,544.4,544.5,13994100
70519,2/9/2007,532.9,544.9,534,544,534.3,534.7,19229700
70519,2/12/2007,532,539.1,534.3,534.9,534.5,534.6,15309240
70519,2/13/2007,535,538.5,537.1,535.3,537,537.1,13051930
70519,2/14/2007,537.4,544.4,541.8,538.6,541.7,541.8,14163540
70519,2/15/2007,540.4,545.2,542.1,542,542.2,542.4,13708100
70519,2/16/2007,537.8,541.5,541,540.8,540.8,541,17256100
70519,2/20/2007,540.9,546.5,541.9,541.7,541.6,542.4,16105700
70519,2/21/2007,535.9,541.5,537.5,540.1,537.5,537.6,14916000
70519,2/22/2007,534.2,540.9,535.9,539.5,535.9,536.1,19093000
70519,2/23/2007,531.5,540.3,537.7,536.7,537.6,537.7,17737400
70519,2/26/2007,521.8,541.9,526.8,539,527,527.5,35597580
70519,2/27/2007,500.5,527.7,506,521.2,505.4,504.7,31797900
70519,2/28/2007,495.6,510.2,503.7,510,503.7,503.8,46741900
70519,3/1/2007,496,514.5,510.8,497.5,510.4,510.6,36723850
70519,3/2/2007,498.5,512.1,499.7,509.2,499,499.5,26173300
70519,3/5/2007,491.8,505.5,492.5,496,492,492.3,24925800
70519,3/6/2007,495.5,508.4,505.8,498.5,505.7,505.9,26870400
70519,3/7/2007,501.7,511,502.2,506,502.4,502.5,20805800
70519,3/8/2007,503.1,512.4,505,506.2,504.8,505,17830900
70519,3/9/2007,500,509.5,503.3,509.1,503.3,503.4,15701200
70519,3/12/2007,501,506.5,503.6,501.1,503.5,503.6,10988600
70519,3/13/2007,487.5,500.9,487.5,500.1,487.7,488,29286200
70519,3/14/2007,480.5,493.2,490.8,488,490.9,491.1,30438550
70519,3/15/2007,490.6,501.7,501.3,491,501,501.1,29292700
70519,3/16/2007,491.9,503.8,495.3,500.1,494.8,494.9,30815420
70519,3/19/2007,497,501,500.6,498.1,500.3,500.4,16813620
70519,3/20/2007,499.2,509.4,506.4,500.6,506.3,506.4,16445080
70519,3/21/2007,504.4,525,520.3,504.9,519.9,520,29271390
70519,3/22/2007,516.9,522,518.4,519,518.5,518.7,21733380
70519,3/23/2007,514.3,520.6,517.2,518,517.6,517.7,15143190
70519,3/26/2007,510.6,520.1,515.4,520,515.1,515.3,20869280
70519,3/27/2007,510,516.5,510.6,512.1,510.7,510.8,17111600
70519,3/28/2007,508.1,516.5,509.6,511.8,509.5,509.8,23236100
70519,3/29/2007,510.3,515.9,514,513,513.9,514.4,17816050
70519,3/30/2007,509.2,519.4,513.4,515,513.4,513.5,19913080
70519,4/2/2007,504.1,515,510.5,513.1,510.1,510.6,18813250
70519,4/3/2007,511.6,516.6,514.1,511.7,514,514.2,21449710
70519,4/4/2007,511.4,515.2,513.6,514.9,513.4,513.5,15331750
70519,4/5/2007,510.5,517.6,515.7,512.1,515.7,515.9,10339540
70519,4/9/2007,513.6,518.2,515.8,518,515.7,516,11533260
70519,4/10/2007,513.5,525.1,524,516,524,524.2,21535840
70519,4/11/2007,513.4,524.8,518,524.1,518.1,518.7,25170020
70519,4/12/2007,513.2,518.1,516.5,518,516.3,516.6,22710330
70519,4/13/2007,513.5,518,516,518,516.3,516.4,16901440
70519,4/16/2007,522.5,535.9,529.3,522.6,529.6,529.9,32772730
70519,4/17/2007,523.6,530.5,525.3,530,525.6,525.6,22536820
70519,4/18/2007,526.5,533,529.9,527.2,530,530.1,26188580
70519,4/19/2007,526.5,534.7,530.9,527.1,530.8,531,22503210
70519,4/20/2007,529.1,537.5,534.2,537.4,534.2,534.3,26592130
70519,4/23/2007,529,536.4,531.1,533.3,531.1,531.2,15148280
70519,4/24/2007,523.7,533,528.1,532.5,527.9,528.1,18967370
70519,4/25/2007,527.8,539.4,538,529.9,538,538.1,26753330
70519,4/26/2007,532.7,538.5,535.6,537.9,535.5,535.6,24742050
70519,4/27/2007,531.5,535.5,533.7,534.5,533.7,533.9,13158900
70519,4/30/2007,534.8,547.1,536.2,536.4,536.2,536.6,30498120
70519,5/1/2007,537.4,543.2,542,538,541.9,542,20989130
70519,5/2/2007,540.7,544.5,543,544.5,543,543.4,19414090
70519,5/3/2007,535.5,541,539.5,539.5,539.4,539.5,16266710
70519,5/4/2007,539.5,545.61,540.9,541,541.1,541.2,17704250
70519,5/7/2007,537.2,544,538.8,539.7,538.7,538.8,16029710
70519,5/8/2007,534.8,540,537.2,537.5,537.2,537.3,15394640
70519,5/9/2007,534.3,541.5,541.2,536.3,541.2,541.3,20771390
70519,5/10/2007,531.8,540.5,532,537.7,532.5,532.6,21082420
70519,5/11/2007,529,537.6,531.1,532.1,531,531.4,76732790
70519,5/14/2007,525.8,533,528.6,531.8,528.7,529,23984830
70519,5/15/2007,527.4,532.4,527.9,530.3,528.1,528.4,26132130
70519,5/16/2007,535,550.4,549.1,538,548.4,548.9,64535320
70519,5/17/2007,539.5,551.9,548,548.9,547.6,547.7,22369160
70519,5/18/2007,547.4,555.5,550,550,549.7,549.8,21021490
70519,5/21/2007,547.4,552,548.4,551.8,548.4,548.5,23317180
70519,5/22/2007,545.2,553.3,550.8,548.8,550.7,550.9,21781360
70519,5/23/2007,548.5,555.3,550.1,551.2,550,550.2,19121830
70519,5/24/2007,547.4,555.2,549.3,552.4,549.3,549.4,22431110
