,Mkt-RF,SMB,HML,RF
199401,2.87,0.15,2.09,0.25
199402,-2.55,2.73,-1.45,0.21
199403,-4.78,-0.98,1.29,0.27
199404,0.68,-0.92,1.68,0.27
199405,0.58,-2.01,0.2,0.31
199406,-3.03,-0.45,1.69,0.31
199407,2.82,-1.72,0.62,0.28
199408,4.01,1.34,-2.81,0.37
199409,-2.31,2.83,-1.91,0.37
199410,1.34,-2.35,-1.74,0.38
199411,-4.04,0.26,-0.94,0.37
199412,0.86,0.04,0.54,0.44
199501,1.8,-2.65,0.81,0.42
199502,3.63,-0.67,1.09,0.4
199503,2.19,-0.69,-1.1,0.46
199504,2.11,-0.63,2.27,0.44
199505,2.9,-2.21,1.72,0.54
199506,2.72,2.93,-2.28,0.47
199507,3.72,2.09,-1.67,0.45
199508,0.55,1.59,2.71,0.47
199509,3.35,-2.11,-0.75,0.43
199510,-1.52,-3.75,-0.74,0.47
199511,3.96,-1.17,0.95,0.42
199512,1.03,0.58,0.87,0.49
199601,2.26,-2.62,0.3,0.43
199602,1.33,1.88,-1.42,0.39
199603,0.73,1.31,1.01,0.39
199604,2.06,4.91,-3.91,0.46
199605,2.36,3.05,-1.2,0.42
199606,-1.14,-3.58,1.56,0.4
199607,-5.97,-3.84,4.45,0.45
199608,2.77,2.3,-0.46,0.41
199609,5.01,-0.88,-3.15,0.44
199610,0.86,-4.44,5.12,0.42
199611,6.25,-3.89,1.16,0.41
199612,-1.7,3.2,0.89,0.46
199701,4.98,-1.84,-1.65,0.45
199702,-0.49,-2.9,5.2,0.39
199703,-5.02,-0.38,3.81,0.43
199704,4.04,-5.65,-0.07,0.43
199705,6.74,4.89,-3.87,0.49
199706,4.1,1.33,1.23,0.37
199707,7.33,-2.8,0.82,0.43
199708,-4.15,7.31,1.38,0.41
199709,5.35,2.61,0.01,0.44
199710,-3.8,-0.68,1.95,0.42
199711,2.98,-4.95,0.79,0.39
199712,1.32,-2.35,3.45,0.48
199801,0.15,-1.16,-1.45,0.43
199802,7.04,0,-0.13,0.39
199803,4.76,-0.93,1.05,0.39
199804,0.73,0.2,0.74,0.43
199805,-3.07,-3.74,4.16,0.4
199806,3.18,-3.16,-2.33,0.41
199807,-2.46,-5.12,-0.96,0.4
199808,-16.08,-5.31,3.4,0.43
199809,6.15,-0.14,-3.31,0.46
199810,7.13,-3.29,-2.21,0.32
199811,6.1,1.07,-3.15,0.31
199812,6.16,-0.35,-4.46,0.38
199901,3.5,0.37,-4.03,0.35
199902,-4.08,-5.67,1.4,0.35
199903,3.45,-3.93,-2.65,0.43
199904,4.33,4,2.53,0.37
199905,-2.46,3.42,2.4,0.34
199906,4.77,3.05,-3.6,0.4
199907,-3.49,2.67,-0.76,0.38
199908,-1.38,-1.27,-1.31,0.39
199909,-2.79,3.33,-3.4,0.39
199910,6.12,-6.95,-2.88,0.39
199911,3.37,7.37,-6.51,0.36
199912,7.72,7.12,-8.74,0.44
