PERMNO,date,PRC,VOL,OPENPRC,NUMTRD
14593,2007/01/03,83.80000,44545733,86.29000,190644
14593,2007/01/04,85.66000,34097551,84.05000,136710
14593,2007/01/05,85.05000,29842335,85.77000,141427
14593,2007/01/08,85.47000,28490191,85.96000,130908
14593,2007/01/09,92.57000,119827814,86.45000,569923
14593,2007/01/10,97.00000,105660143,94.73000,473913
14593,2007/01/11,95.80000,51550184,95.97000,233312
14593,2007/01/12,94.62000,46920920,94.59000,213528
14593,2007/01/16,97.10000,44489274,95.68500,210284
14593,2007/01/17,94.95000,60053850,97.57000,254782
14593,2007/01/18,89.07000,84566630,92.09500,394207
14593,2007/01/19,88.50000,48789206,88.62000,227882
14593,2007/01/22,86.79000,52005857,89.14000,242588
14593,2007/01/23,85.70000,43198158,85.73000,211169
14593,2007/01/24,86.70000,33186526,86.66500,148796
14593,2007/01/25,86.25000,32394129,87.11100,142686
14593,2007/01/26,85.38000,35265530,87.05500,161422
14593,2007/01/29,85.94000,32269617,86.30000,150609
14593,2007/01/30,85.55000,20724817,86.43000,101335
14593,2007/01/31,85.73000,30594170,84.84500,137431
14593,2007/02/01,84.74000,23762229,86.23000,110675
14593,2007/02/02,84.75000,22234448,84.12000,98507
14593,2007/02/05,83.94000,20737742,84.30000,97587
14593,2007/02/06,84.15000,30942175,84.45000,142014
14593,2007/02/07,86.15000,38320972,84.49500,164223
14593,2007/02/08,86.18000,24265950,85.43000,112961
14593,2007/02/09,83.27000,30756328,85.88000,137779
14593,2007/02/12,84.88000,25882055,84.43000,122097
14593,2007/02/13,84.63000,20789841,85.16000,100942
14593,2007/02/14,85.30000,18157443,84.63000,80849
14593,2007/02/15,85.21000,12997117,85.44000,66199
14593,2007/02/16,84.83000,14308642,85.25000,50595
14593,2007/02/20,85.90000,22070251,84.65000,94183
14593,2007/02/21,89.20000,41499945,85.98000,190718
14593,2007/02/22,89.51000,29981556,90.80000,146526
14593,2007/02/23,89.07000,18532199,89.16000,81279
14593,2007/02/26,88.65000,22044891,89.84000,102462
14593,2007/02/27,83.93000,41004407,86.30000,205704
14593,2007/02/28,84.61000,32850000,83.00000,158780
14593,2007/03/01,87.06000,50568882,84.03000,248908
14593,2007/03/02,85.41000,30751061,86.77000,150410
14593,2007/03/05,86.31990,29998978,85.89000,146918
14593,2007/03/06,88.19000,25869393,87.80000,129806
14593,2007/03/07,87.72000,22511894,88.05000,103147
14593,2007/03/08,88.00000,18287614,88.59000,87616
14593,2007/03/09,87.97000,16185955,88.80000,78257
14593,2007/03/12,89.87000,26099179,88.07000,124680
14593,2007/03/13,88.40000,31029326,89.41000,155695
14593,2007/03/14,90.00000,28456756,88.60000,145077
14593,2007/03/15,89.57000,19991357,89.96000,96405
14593,2007/03/16,89.59000,20451851,89.53800,73429
14593,2007/03/19,91.13000,25471557,90.24000,122193
14593,2007/03/20,91.48000,17484384,91.35000,84048
14593,2007/03/21,93.87000,24558152,91.99000,119128
14593,2007/03/22,93.96000,20210212,93.73000,94621
14593,2007/03/23,93.52000,16134397,93.35000,80146
14593,2007/03/26,95.85000,30943304,93.99000,138790
14593,2007/03/27,95.46000,33323115,95.71000,153772
14593,2007/03/28,93.24000,33942531,94.88000,164465
14593,2007/03/29,93.75000,25937948,94.19000,123930
14593,2007/03/30,92.91000,21463293,94.28000,95769
14593,2007/04/02,93.65000,17959805,94.14000,89816
14593,2007/04/03,94.50000,20870873,94.14000,95243
14593,2007/04/04,94.27000,17040854,94.94000,76086
14593,2007/04/05,94.68000,12705236,94.12000,59982
14593,2007/04/09,93.65000,14860653,95.21000,69707
14593,2007/04/10,94.25000,12626844,93.67000,58094
14593,2007/04/11,92.59000,19633372,93.90000,90439
14593,2007/04/12,92.19000,23823641,92.04000,95203
14593,2007/04/13,90.24000,25743265,90.90000,107356
14593,2007/04/16,91.43000,21776607,90.57000,92769
14593,2007/04/17,90.35000,26870049,92.00000,119194
14593,2007/04/18,90.40000,16629395,90.16000,75209
14593,2007/04/19,90.27000,15232608,90.19000,69151
14593,2007/04/20,90.97000,18793322,90.88900,82889
14593,2007/04/23,93.51000,27903253,91.58500,114545
14593,2007/04/24,93.24000,37738668,93.96000,159407
14593,2007/04/25,95.34800,43838265,94.23000,176164
14593,2007/04/26,98.84000,62277169,101.58000,266447
14593,2007/04/27,99.92000,25035295,98.18000,93542
14593,2007/04/30,99.80000,22202186,100.09000,93057
14593,2007/05/01,99.47000,19024975,99.59000,80373
14593,2007/05/02,100.39000,18083253,99.65000,66419
14593,2007/05/03,100.40000,20602706,100.73000,81692
14593,2007/05/04,100.81000,13653785,100.80000,58188
14593,2007/05/07,103.92000,30811827,101.08000,115050
14593,2007/05/08,105.06000,28043215,103.47000,113293
14593,2007/05/09,106.88000,25699605,104.91000,105083
14593,2007/05/10,107.34000,42825582,106.63000,183350
14593,2007/05/11,108.74000,23493059,107.74000,90308
14593,2007/05/14,109.36000,23315565,109.62000,100564
14593,2007/05/15,107.52000,34131290,109.57000,153476
14593,2007/05/16,107.34000,40276455,108.53000,171726
14593,2007/05/17,109.44000,26358332,107.15000,123301
14593,2007/05/18,110.02000,22212222,110.23000,88900
14593,2007/05/21,111.98000,22915075,110.31000,106062
14593,2007/05/22,113.54000,20477392,112.49000,93951
14593,2007/05/23,112.89000,32727753,114.02000,139562
14593,2007/05/24,110.69000,22612657,112.81000,95830
14593,2007/05/25,113.62000,22608017,112.00000,95806
14593,2007/05/29,114.35000,23095626,114.45000,99383
14593,2007/05/30,118.77000,52965777,114.30000,231594
14593,2007/05/31,121.19100,46484626,120.07000,206690
14593,2007/06/01,118.40000,31831198,121.10000,139190
14593,2007/06/04,121.33000,31741402,118.63000,145494
14593,2007/06/05,122.67000,32954247,121.41000,147186
14593,2007/06/06,123.64000,39795237,122.30000,171575
14593,2007/06/07,124.06900,68583042,124.99000,332220
14593,2007/06/08,124.49000,44438219,125.82500,210772
14593,2007/06/11,120.19000,67195826,126.00000,323275
14593,2007/06/12,120.38000,51016822,119.35000,248697
14593,2007/06/13,117.50000,61565911,121.15000,291254
14593,2007/06/14,118.75000,34856681,117.20000,156377
14593,2007/06/15,120.50000,29013381,120.62000,107381
14593,2007/06/18,125.09000,32587337,123.28000,139013
14593,2007/06/19,123.66000,33772721,124.69000,145159
14593,2007/06/20,121.55000,32436345,123.87000,143334
14593,2007/06/21,123.90000,30994333,121.70000,137317
14593,2007/06/22,123.00000,22719447,123.85000,97685
14593,2007/06/25,122.34000,34516246,124.19000,160343
14593,2007/06/26,119.65000,48082630,123.98000,228488
14593,2007/06/27,121.89000,35227144,120.61000,157127
14593,2007/06/28,120.56000,30089640,122.36000,127502
14593,2007/06/29,122.04000,40655356,121.97000,178100
14593,2007/07/02,121.26000,35591231,121.05000,148068
14593,2007/07/03,127.17000,41573292,122.00000,181225
14593,2007/07/05,132.75000,51913827,128.80000,231361
14593,2007/07/06,132.30000,31246105,133.13000,134083
14593,2007/07/09,130.33009,35566202,132.38000,145186
14593,2007/07/10,132.35001,44837222,128.88000,200311
14593,2007/07/11,132.39000,29351084,132.07001,128425
14593,2007/07/12,134.06990,25165207,133.85001,107708
14593,2007/07/13,137.73000,32426945,135.03000,138693
14593,2007/07/16,138.10001,33452091,138.39000,150201
14593,2007/07/17,138.90990,25353592,138.30000,112360
14593,2007/07/18,138.12000,27048410,138.19000,127557
14593,2007/07/19,140.00000,26183846,140.30000,110791
14593,2007/07/20,143.75000,41728745,141.64999,183239
14593,2007/07/23,143.70000,37036625,143.31000,157881
14593,2007/07/24,134.88989,64479233,138.88000,299725
14593,2007/07/25,137.25999,58318557,137.35001,240198
14593,2007/07/26,146.00000,78235734,145.91000,360275
14593,2007/07/27,143.85001,41551219,146.19000,194097
14593,2007/07/30,141.42999,39575629,144.33000,177064
14593,2007/07/31,131.75999,63259249,142.97000,291877
14593,2007/08/01,135.00000,62564732,133.64000,290472
14593,2007/08/02,136.49001,30524728,136.64999,140502
14593,2007/08/03,131.84990,24263601,135.25999,110249
14593,2007/08/06,135.25000,33075877,132.89999,151561
14593,2007/08/07,135.03011,33992153,134.94000,151903
14593,2007/08/08,134.00999,28929623,136.75999,124141
14593,2007/08/09,126.39000,40279826,131.11000,172669
14593,2007/08/10,125.00000,50452377,123.12000,210378
14593,2007/08/13,127.79000,26938858,128.32001,117719
14593,2007/08/14,124.03000,26418886,128.28999,121729
14593,2007/08/15,119.90000,35475121,122.74000,169350
14593,2007/08/16,117.05000,66686417,117.01000,313528
14593,2007/08/17,122.06000,42929519,122.01000,195230
14593,2007/08/20,122.22000,28700254,123.96000,136007
14593,2007/08/21,127.57000,46598643,122.21000,202487
14593,2007/08/22,132.50999,37755850,131.22000,162866
14593,2007/08/23,131.07001,30978463,133.09000,147723
14593,2007/08/24,135.30000,32567359,130.53000,144463
14593,2007/08/27,132.25000,25267975,133.39101,117449
14593,2007/08/28,126.82000,42139608,130.99001,198940
14593,2007/08/29,134.08000,41676567,129.88000,209599
14593,2007/08/30,136.25000,51271277,132.67000,246533
14593,2007/08/31,138.48000,31364711,139.49001,149549
14593,2007/09/04,144.16000,47003267,139.94000,235658
14593,2007/09/05,136.75999,83152007,144.97000,399953
14593,2007/09/06,135.00999,67927020,135.56000,328682
