PERMNO,date,PRC,VOL,CFACPR,OPENPRC,NUMTRD
59176,2007/01/03,60.36000,6143300,1,61.18000,
59176,2007/01/04,59.92000,5672900,1,60.23000,
59176,2007/01/05,59.13000,6818100,1,59.65000,
59176,2007/01/08,59.69000,5000200,1,59.03000,
59176,2007/01/09,59.31000,5064100,1,59.90000,
59176,2007/01/10,59.27000,4366800,1,59.24000,
59176,2007/01/11,59.45000,4204900,1,59.25000,
59176,2007/01/12,59.01000,5002900,1,59.35000,
59176,2007/01/16,59.13000,5354200,1,58.85000,
59176,2007/01/17,59.22000,4898000,1,59.16000,
59176,2007/01/18,59.00000,4606600,1,58.50000,
59176,2007/01/19,58.09000,8192600,1,59.23000,
59176,2007/01/22,58.06000,13232400,1,58.30000,
59176,2007/01/23,57.54000,6572200,1,58.00000,
59176,2007/01/24,58.93000,5497800,1,57.70000,
59176,2007/01/25,57.77000,5103700,1,58.78000,
59176,2007/01/26,57.85000,5477000,1,57.81000,
59176,2007/01/29,57.64000,4714500,1,57.75000,
59176,2007/01/30,58.01000,5177700,1,57.68000,
59176,2007/01/31,58.22000,6323300,1,58.02000,
59176,2007/02/01,58.07000,4115900,1,58.30000,
59176,2007/02/02,58.16000,5033400,1,58.30000,
59176,2007/02/05,58.20000,3220000,1,58.17000,
59176,2007/02/06,58.06000,4491800,1,58.40000,
59176,2007/02/07,58.68000,4487000,1,58.23000,
59176,2007/02/08,58.49000,2913600,1,58.68000,
59176,2007/02/09,57.53000,4704900,1,58.65000,
59176,2007/02/12,57.00000,12378680,1,57.69000,
59176,2007/02/13,57.60000,4979422,1,57.23000,
59176,2007/02/14,58.69000,7739174,1,57.60000,
59176,2007/02/15,58.85000,7609300,1,58.52000,
59176,2007/02/16,59.02000,4928100,1,59.00000,
59176,2007/02/20,58.71000,4483200,1,58.75000,
59176,2007/02/21,58.53000,2681100,1,58.26000,
59176,2007/02/22,58.15000,3855300,1,58.42000,
59176,2007/02/23,58.02000,3574500,1,58.00000,
59176,2007/02/26,57.14000,4242715,1,58.02000,
59176,2007/02/27,55.59000,11213400,1,57.00000,
59176,2007/02/28,56.87000,11590300,1,56.03000,
59176,2007/03/01,56.55000,8759784,1,56.20000,
59176,2007/03/02,55.44000,7281000,1,56.10000,
59176,2007/03/05,54.90000,6482800,1,55.43000,
59176,2007/03/06,56.37000,8311300,1,55.35000,
59176,2007/03/07,55.86000,5464100,1,56.12000,
59176,2007/03/08,56.82000,5424500,1,56.34000,
59176,2007/03/09,56.90000,3819800,1,57.07000,
59176,2007/03/12,56.71000,3702294,1,56.11000,
59176,2007/03/13,54.75000,7980226,1,56.30000,
59176,2007/03/14,55.71000,10665560,1,54.25000,
59176,2007/03/15,56.11000,8899200,1,55.58000,
59176,2007/03/16,55.55000,7966573,1,56.40000,
59176,2007/03/19,56.04000,6295000,1,56.26000,
59176,2007/03/20,56.26000,3857400,1,56.04000,
59176,2007/03/21,57.49000,7199915,1,56.27000,
59176,2007/03/22,57.44000,5546073,1,57.40000,
59176,2007/03/23,57.43000,3505600,1,57.58000,
59176,2007/03/26,57.20000,3708770,1,57.40000,
59176,2007/03/27,56.43000,5419500,1,56.95000,
59176,2007/03/28,55.86000,7592740,1,56.30000,
59176,2007/03/29,56.46000,4587975,1,56.65000,
59176,2007/03/30,56.40000,4139043,1,56.65000,
59176,2007/04/02,55.86000,6908060,1,56.40000,
59176,2007/04/03,55.92000,7564174,1,55.80000,
59176,2007/04/04,56.31000,3600167,1,56.00000,
59176,2007/04/05,55.96000,4643565,1,56.08000,
59176,2007/04/09,56.36000,3592481,1,56.02000,
59176,2007/04/10,56.41000,4464552,1,56.20000,
59176,2007/04/11,56.05000,4523239,1,56.32000,
59176,2007/04/12,56.51000,5294969,1,56.09000,
59176,2007/04/13,57.36000,7326000,1,57.00000,
59176,2007/04/16,58.56000,6472205,1,57.48000,
59176,2007/04/17,58.24000,5115700,1,58.50000,
59176,2007/04/18,58.44000,8385619,1,58.30000,
59176,2007/04/19,58.95000,7122673,1,58.50000,
59176,2007/04/20,61.00000,14274220,1,60.53000,
59176,2007/04/23,61.15000,7559336,1,61.50000,
59176,2007/04/24,60.91000,8817622,1,61.15000,
59176,2007/04/25,62.32000,10412290,1,61.10000,
59176,2007/04/26,62.14000,9451203,1,62.15000,
59176,2007/04/27,62.14000,5486866,1,61.82000,
59176,2007/04/30,60.67000,9399742,1,62.07000,
59176,2007/05/01,61.32000,10965850,1,60.50000,
59176,2007/05/02,62.74000,8619421,1,61.51000,
59176,2007/05/03,63.46000,8395143,1,62.78000,
59176,2007/05/04,63.39000,3754208,1,63.50000,
59176,2007/05/07,63.27000,2837200,1,63.39000,
59176,2007/05/08,63.27000,3190000,1,62.98000,
59176,2007/05/09,63.28000,3213400,1,63.28000,
59176,2007/05/10,62.75000,5553147,1,63.00000,
59176,2007/05/11,62.97000,3434320,1,62.75000,
59176,2007/05/14,62.42000,4400466,1,62.92000,
59176,2007/05/15,63.02000,5757193,1,62.65000,
59176,2007/05/16,63.98000,5614370,1,63.42000,
59176,2007/05/17,63.56000,3041240,1,63.91000,
59176,2007/05/18,63.96000,4855250,1,63.80000,
59176,2007/05/21,64.27000,4986460,1,63.99000,
59176,2007/05/22,64.27000,3237231,1,64.24000,
59176,2007/05/23,63.99000,4596678,1,64.22000,
59176,2007/05/24,64.02000,6676152,1,64.01000,
59176,2007/05/25,63.63000,3606650,1,63.95000,
59176,2007/05/29,64.34000,3269120,1,63.80000,
59176,2007/05/30,65.00000,5704501,1,64.00000,
59176,2007/05/31,64.98000,4768120,1,64.96000,
59176,2007/06/01,65.07000,5078813,1,65.00000,
59176,2007/06/04,65.02000,3748404,1,65.10000,
59176,2007/06/05,64.79000,5707738,1,65.00000,
59176,2007/06/06,63.74000,5384661,1,64.67000,
59176,2007/06/07,62.74000,6424763,1,63.60000,
59176,2007/06/08,63.04000,4290978,1,62.60000,
59176,2007/06/11,63.06000,4451030,1,62.79000,
59176,2007/06/12,62.12000,4649544,1,63.06000,
59176,2007/06/13,63.15000,4263925,1,62.50000,
59176,2007/06/14,63.14000,4570300,1,63.17000,
59176,2007/06/15,63.77000,7128287,1,63.77000,
59176,2007/06/18,63.14000,3807524,1,63.98000,
59176,2007/06/19,63.15000,4853000,1,63.08000,
59176,2007/06/20,62.05000,4034951,1,63.35000,
59176,2007/06/21,62.66000,6375839,1,62.00000,
59176,2007/06/22,61.79000,8427200,1,62.43000,
59176,2007/06/25,61.80000,5426175,1,62.17000,
59176,2007/06/26,61.33000,5585077,1,62.31000,
59176,2007/06/27,61.53000,4573455,1,61.10000,
59176,2007/06/28,61.22000,6978556,1,61.26000,
59176,2007/06/29,61.18000,6527739,1,61.65000,
59176,2007/07/02,61.79000,6016933,1,61.46000,
59176,2007/07/03,62.42000,2958300,1,62.61000,
59176,2007/07/05,61.38000,3458000,1,62.18000,
59176,2007/07/06,61.51000,3401520,1,61.02000,
59176,2007/07/09,62.44000,4884750,1,61.70000,
59176,2007/07/10,60.30000,9895963,1,62.49000,
59176,2007/07/11,60.28000,7928200,1,60.15000,
59176,2007/07/12,63.33000,9536900,1,60.53000,
59176,2007/07/13,62.83000,6013100,1,63.30000,
59176,2007/07/16,61.88000,4823957,1,62.53000,
59176,2007/07/17,64.74000,10396500,1,63.20000,
59176,2007/07/18,65.05000,9492952,1,64.10000,
59176,2007/07/19,65.55000,6084851,1,65.18000,
59176,2007/07/20,64.51000,7313882,1,65.62000,
59176,2007/07/23,64.66000,7264952,1,65.22000,
59176,2007/07/24,61.17000,12172970,1,63.00000,
59176,2007/07/25,61.73000,8240072,1,61.68000,
59176,2007/07/26,60.26000,14066530,1,61.15000,
59176,2007/07/27,58.55000,13400100,1,60.63000,
59176,2007/07/30,60.14000,9060400,1,58.77000,
59176,2007/07/31,58.54000,12150800,1,60.97000,
59176,2007/08/01,59.63000,10756150,1,58.45000,
59176,2007/08/02,60.91000,8364600,1,59.67000,
59176,2007/08/03,57.49000,14938260,1,60.90000,
59176,2007/08/06,60.23000,17552100,1,57.88000,
59176,2007/08/07,60.43000,13139000,1,59.57000,
59176,2007/08/08,62.96000,13356000,1,60.70000,
59176,2007/08/09,60.65000,17308300,1,60.67000,
59176,2007/08/10,60.78000,16173400,1,60.00000,
59176,2007/08/13,59.45000,9661250,1,61.02000,
59176,2007/08/14,57.30000,11376700,1,59.50000,
59176,2007/08/15,56.74000,10332130,1,57.20000,
59176,2007/08/16,58.17000,17405800,1,56.12000,
59176,2007/08/17,58.89000,13244700,1,59.68000,
59176,2007/08/20,58.68000,6323900,1,59.10000,
59176,2007/08/21,59.14000,6913300,1,59.15000,
59176,2007/08/22,60.13000,8487200,1,59.73000,
59176,2007/08/23,60.03000,5901300,1,60.88000,
59176,2007/08/24,60.89000,4784997,1,59.90000,
59176,2007/08/27,59.96000,4405334,1,60.88000,
