PERMNO,date,VOL,PRC,OPENPRC
88208,1/3/2007,215900,152.4601525,119.7001197
88208,1/4/2007,99100,153.027153,158.1301581
88208,1/5/2007,65800,147.4201474,155.6101556
88208,1/8/2007,96000,182.7001827,147.4201474
88208,1/9/2007,80500,175.4929755,185.2201852
88208,1/10/2007,29600,160.02016,173.2501733
88208,1/11/2007,58800,170.1001701,161.2801613
88208,1/12/2007,38700,176.4001764,172.6201726
88208,1/16/2007,40600,166.950167,176.4001764
88208,1/17/2007,95300,176.4001764,166.950167
88208,1/18/2007,39300,173.8801739,176.4001764
88208,1/19/2007,26200,181.4401814,175.7701758
88208,1/22/2007,53800,188.993889,183.960184
88208,1/23/2007,22700,182.0701821,189.000189
88208,1/24/2007,18900,189.000189,185.8501859
88208,1/25/2007,21000,191.5201915,191.5201915
88208,1/26/2007,9200,189.6364896,190.8901909
88208,1/29/2007,21800,185.8501859,185.2201852
88208,1/30/2007,4400,187.1038871,183.3364833
88208,1/31/2007,13500,184.5901846,186.4801865
88208,2/1/2007,73800,195.3001953,185.8501859
88208,2/2/2007,44700,201.6002016,195.3001953
88208,2/5/2007,10300,201.978202,200.3402003
88208,2/6/2007,15500,202.8602029,201.6002016
88208,2/7/2007,7100,203.4902035,202.8602029
88208,2/8/2007,22300,208.5302085,208.5302085
88208,2/9/2007,15500,198.4501985,206.010206
88208,2/12/2007,28100,195.9301959,196.5601966
88208,2/13/2007,11500,195.3001953,194.040194
88208,2/14/2007,24997,189.000189,194.040194
88208,2/15/2007,3000,190.8901909,189.6301896
88208,2/16/2007,8800,190.1845902,192.1501922
88208,2/20/2007,15800,190.8901909,189.000189
88208,2/21/2007,45200,203.4902035,195.3001953
88208,2/22/2007,67200,207.2702073,210.4202104
88208,2/23/2007,79100,212.9402129,213.5702136
88208,2/26/2007,59800,225.5402255,220.5002205
88208,2/27/2007,62400,231.2102312,229.3202293
88208,2/28/2007,133600,260.6312606,233.1002331
88208,3/1/2007,92300,279.7202797,262.0802621
88208,3/2/2007,486700,299.2565993,283.5002835
88208,3/5/2007,214500,269.6402696,308.7003087
88208,3/6/2007,45500,277.2002772,300.5103005
88208,3/7/2007,49700,272.7902728,270.9002709
88208,3/8/2007,43900,284.1302841,274.0502741
88208,3/9/2007,23900,289.2962893,286.020286
88208,3/12/2007,31200,286.6502867,284.1302841
88208,3/13/2007,35600,285.8690859,288.5402885
88208,3/14/2007,23400,272.7902728,286.6502867
88208,3/15/2007,28000,267.1202671,269.010269
88208,3/16/2007,14900,273.4202734,273.4202734
88208,3/19/2007,12500,279.7202797,275.9402759
88208,3/20/2007,33200,263.970264,279.7202797
88208,3/21/2007,26800,263.970264,264.6002646
88208,3/22/2007,23500,262.0802621,258.9302589
88208,3/23/2007,43000,260.8139608,265.8602659
88208,3/26/2007,47000,263.970264,265.2302652
88208,3/27/2007,14800,263.3402633,263.970264
88208,3/28/2007,16600,257.6702577,264.6002646
88208,3/29/2007,63000,245.7002457,257.6702577
88208,3/30/2007,28000,243.8102438,240.03024
88208,4/2/2007,28800,236.8802369,239.4002394
88208,4/3/2007,76300,228.6902287,232.4702325
88208,4/4/2007,32300,243.8102438,231.8402318
88208,4/5/2007,18200,243.8102438,240.6602407
88208,4/9/2007,6600,235.7399357,240.03024
88208,4/10/2007,24900,236.2502363,236.8802369
88208,4/11/2007,23700,248.2202482,239.4002394
88208,4/12/2007,37400,253.2602533,243.8102438
88208,4/13/2007,29500,263.970264,246.960247
88208,4/16/2007,42500,283.5002835,263.970264
88208,4/17/2007,20700,277.8302778,277.2002772
88208,4/18/2007,434300,305.5503056,299.2502993
88208,4/19/2007,58600,296.1002961,307.4403074
88208,4/20/2007,144000,283.5002835,292.950293
88208,4/23/2007,78600,282.2402822,277.2002772
88208,4/24/2007,12700,277.2002772,277.2002772
88208,4/25/2007,30800,277.2002772,274.6802747
88208,4/26/2007,44100,272.2610723,272.1602722
88208,4/27/2007,42500,255.1502552,250.1102501
88208,4/30/2007,24500,263.970264,250.1102501
88208,5/1/2007,9000,265.8602659,262.0802621
88208,5/2/2007,36600,262.0802621,264.6002646
88208,5/3/2007,7900,264.6821647,263.970264
88208,5/4/2007,9900,263.3402633,255.1565552
88208,5/7/2007,11400,259.5602596,260.1902602
88208,5/8/2007,9400,258.3002583,259.5602596
88208,5/9/2007,4500,263.3402633,258.9302589
88208,5/10/2007,8900,264.6002646,264.6002646
88208,5/11/2007,17800,258.3002583,258.3002583
88208,5/14/2007,21000,243.1802432,259.5602596
88208,5/15/2007,44100,252.000252,244.4402444
88208,5/16/2007,42300,258.7223587,245.7002457
88208,5/17/2007,195100,299.2502993,299.2502993
88208,5/18/2007,56100,292.7423927,296.7302967
88208,5/21/2007,46000,292.950293,298.6202986
88208,5/22/2007,89500,296.7302967,292.950293
88208,5/23/2007,114900,311.8503119,304.2903043
88208,5/24/2007,233100,348.3903484,315.6303156
88208,5/25/2007,91000,365.4003654,352.8003528
88208,5/29/2007,442000,429.6604297,371.7003717
88208,5/30/2007,231200,437.8504379,427.7704278
88208,5/31/2007,212700,385.5603856,429.030429
88208,6/1/2007,87700,405.7204057,387.4503875
88208,6/4/2007,71200,418.7614188,414.5404145
88208,6/5/2007,35300,418.950419,417.0604171
88208,6/6/2007,25400,396.9003969,417.0604171
88208,6/7/2007,38900,378.000378,390.6003906
88208,6/8/2007,40400,415.8004158,378.000378
88208,6/11/2007,58500,400.6804007,422.1004221
88208,6/12/2007,47200,396.2703963,408.2404082
88208,6/13/2007,13800,393.7503938,390.6003906
88208,6/14/2007,53200,428.4004284,390.6003906
88208,6/15/2007,196800,432.8167328,412.6504127
88208,6/18/2007,26300,418.950419,423.990424
88208,6/19/2007,35100,430.9204309,417.6904177
88208,6/20/2007,42800,443.5204435,436.5904366
88208,6/21/2007,71300,447.4138474,441.6304416
88208,6/22/2007,54400,423.3604234,447.3004473
88208,6/25/2007,29800,422.037422,418.950419
88208,6/26/2007,43800,384.3003843,410.7604108
88208,6/27/2007,49900,393.7503938,393.7503938
88208,6/28/2007,33100,406.3504064,400.0504001
88208,6/29/2007,11500,421.4704215,412.6504127
88208,7/2/2007,17500,395.010395,420.8404208
88208,7/3/2007,11400,386.8203868,393.7503938
88208,7/5/2007,13100,384.9303849,381.7803818
88208,7/6/2007,8200,383.6703837,381.1503812
88208,7/9/2007,39500,362.2503623,381.1503812
88208,7/10/2007,60400,352.1703522,359.7303597
88208,7/11/2007,42600,330.7503308,337.0503371
88208,7/12/2007,148000,378.000378,325.7103257
88208,7/13/2007,32900,378.006678,378.000378
88208,7/16/2007,30300,394.3803944,378.6303786
88208,7/17/2007,18700,384.3003843,388.0803881
88208,7/18/2007,74800,384.3003843,384.3003843
88208,7/19/2007,13800,376.7403767,393.1203931
88208,7/20/2007,35100,377.3703774,378.6303786
88208,7/23/2007,18500,378.000378,378.000378
88208,7/24/2007,31600,350.0535501,371.7003717
88208,7/25/2007,31500,354.0603541,347.7603478
88208,7/26/2007,55500,352.8003528,359.7303597
88208,7/27/2007,58700,346.5003465,368.5503686
88208,7/30/2007,29300,345.8703459,343.3503434
88208,7/31/2007,42900,346.5003465,335.1603352
88208,8/1/2007,58800,327.5940276,338.3733384
88208,8/2/2007,77900,331.3803314,324.4503245
88208,8/3/2007,43800,342.0903421,340.2003402
88208,8/6/2007,92200,340.2003402,340.2003402
88208,8/7/2007,48400,328.2303282,346.5003465
88208,8/8/2007,105800,365.4003654,333.9003339
88208,8/9/2007,71500,382.4103824,369.1803692
88208,8/10/2007,45300,374.8503749,379.8903799
88208,8/13/2007,16800,373.5903736,368.5503686
88208,8/14/2007,12300,371.0703711,367.2903673
88208,8/15/2007,26700,381.1503812,371.7003717
88208,8/16/2007,254000,368.5503686,371.7003717
88208,8/17/2007,97500,390.6003906,378.000378
88208,8/20/2007,15300,378.000378,395.6403956
88208,8/21/2007,18400,371.0703711,374.8503749
88208,8/22/2007,45000,371.7003717,370.4403704
88208,8/23/2007,21900,361.6203616,366.6603667
88208,8/24/2007,20200,355.950356,360.3603604
88208,8/27/2007,14900,367.2903673,359.1003591
88208,8/28/2007,22500,339.5640396,359.7303597
88208,8/29/2007,65600,359.1003591,333.9003339
88208,8/30/2007,80700,352.8003528,352.8003528
88208,8/31/2007,13400,362.2503623,352.1703522
88208,9/4/2007,32000,373.5903736,361.6203616
88208,9/5/2007,40000,373.5903736,369.1803692
88208,9/6/2007,13700,359.7303597,375.4803755
88208,9/7/2007,13400,371.7003717,362.2503623
88208,9/10/2007,10300,371.7003717,368.5503686
88208,9/11/2007,30300,367.9203679,372.3303723
88208,9/12/2007,27900,381.1503812,371.0703711
88208,9/13/2007,16400,387.4503875,385.5603856
88208,9/14/2007,6100,387.4503875,384.9303849
88208,9/17/2007,7400,383.040383,379.2603793
88208,9/18/2007,28700,383.040383,378.000378
88208,9/19/2007,19200,378.000378,381.7803818
88208,9/20/2007,54400,378.000378,374.8503749
88208,9/21/2007,77900,378.6303786,374.8503749
88208,9/24/2007,60400,384.3003843,379.2603793
88208,9/25/2007,83300,384.3003843,386.8203868
88208,9/26/2007,74500,387.4503875,376.1103761
88208,9/27/2007,60000,374.8440748,381.7803818
88208,9/28/2007,17900,364.4175644,372.3303723
88208,10/1/2007,12200,374.8503749,361.6203616
88208,10/2/2007,17800,362.2503623,365.4003654
88208,10/3/2007,27500,356.5803566,368.5503686
88208,10/4/2007,18800,343.980344,351.5403515
88208,10/5/2007,33000,363.5103635,343.980344
88208,10/8/2007,4300,365.8413658,360.3603604
88208,10/9/2007,29800,368.5503686,364.7703648
88208,10/10/2007,31700,367.9203679,364.7703648
88208,10/11/2007,17600,359.1003591,364.7703648
88208,10/12/2007,18100,368.3739684,360.3603604
88208,10/15/2007,6000,360.3603604,363.5103635
88208,10/16/2007,11500,350.9103509,356.5803566
88208,10/17/2007,23100,353.4303534,353.4303534
88208,10/18/2007,13300,345.8703459,353.4303534
88208,10/19/2007,17000,340.2003402,345.2403452
88208,10/22/2007,23600,330.7440307,340.2003402
88208,10/23/2007,18300,330.7503308,331.3803314
88208,10/24/2007,17800,327.6003276,327.6003276
88208,10/25/2007,10000,327.9153279,327.6003276
88208,10/26/2007,18700,331.3803314,324.4503245
88208,10/29/2007,18700,325.7166257,324.4503245
88208,10/30/2007,19700,321.3003213,324.4503245
88208,10/31/2007,25100,326.3403263,324.4503245
88208,11/1/2007,22200,337.0503371,322.5603226
88208,11/2/2007,28400,332.6403326,333.2703333
88208,11/5/2007,64300,341.4603415,335.1603352
88208,11/6/2007,19900,333.9003339,337.0503371
88208,11/7/2007,17500,327.6003276,311.8503119
88208,11/8/2007,31500,330.7503308,316.8903169
88208,11/9/2007,17500,321.3003213,315.000315
88208,11/12/2007,16010,320.6703207,295.4702955
88208,11/13/2007,22913,304.9203049,317.5203175
88208,11/14/2007,31600,315.000315,305.5503056
88208,11/15/2007,72000,322.5603226,307.4466074
88208,11/16/2007,9450,324.4503245,327.6003276
88208,11/19/2007,18900,315.000315,316.2603163
88208,11/20/2007,26200,296.1002961,321.3003213
88208,11/21/2007,8866,280.3502804,277.2002772
88208,11/23/2007,7600,282.2465822,275.9465759
88208,11/26/2007,14000,275.3102753,280.3502804
88208,11/27/2007,31300,255.1502552,271.5302715
88208,11/28/2007,36000,257.6702577,260.8202608
88208,11/29/2007,13700,258.3002583,270.9002709
88208,11/30/2007,26600,262.0802621,258.3002583
88208,12/3/2007,14700,252.000252,261.4502615
88208,12/4/2007,24400,245.7002457,258.3002583
88208,12/5/2007,22500,253.8902539,244.4402444
88208,12/6/2007,16700,241.9202419,253.2602533
88208,12/7/2007,10000,242.5502426,245.7002457
88208,12/10/2007,48200,221.7602218,242.5502426
88208,12/11/2007,24200,217.3502174,211.6802117
88208,12/12/2007,131300,204.7502048,217.3502174
88208,12/13/2007,46800,188.3701884,201.6002016
