PERMNO,date,PRC,VOL,CFACPR,OPENPRC,NUMTRD
85675,1/3/2007,23.32,155881,1,23.09,1003
85675,1/4/2007,22.91,124224,1,23.33,855
85675,1/5/2007,22.15,254938,1,22.75,1841
85675,1/8/2007,22.73,270433,1,22.66,1592
85675,1/9/2007,22.43,147189,1,22.72,899
85675,1/10/2007,22.53,97370,1,22.32,672
85675,1/11/2007,22.55,150559,1,22.59,775
85675,1/12/2007,22.57,91652,1,22.46,585
85675,1/16/2007,22.81,78901,1,22.71,431
85675,1/17/2007,22.81,121781,1,22.75,556
85675,1/18/2007,22.34,90414,1,22.77,644
85675,1/19/2007,22.91,77244,1,22.4,484
85675,1/22/2007,22.25,346369,1,22.07,1615
85675,1/23/2007,22.25,86273,1,22.3,616
85675,1/24/2007,22.05,90696,1,22.24,536
85675,1/25/2007,21.95,110137,1,22.1,763
85675,1/26/2007,22.25,105290,1,21.95,625
85675,1/29/2007,22.08,135972,1,22.18,867
85675,1/30/2007,22,164683,1,22.12,825
85675,1/31/2007,22,146053,1,22.01,925
85675,2/1/2007,21.83,247042,1,22.02,1671
85675,2/2/2007,22.68,246516,1,21.84,1020
85675,2/5/2007,22.15,150989,1,22.58,828
85675,2/6/2007,22.5,106989,1,22.17,639
85675,2/7/2007,22.54,143984,1,22.49,806
85675,2/8/2007,22.38,96561,1,22.47,610
85675,2/9/2007,22.4,92464,1,22.3,596
85675,2/12/2007,22.53,77687,1,22.39,519
85675,2/13/2007,22.22,87197,1,22.5,668
85675,2/14/2007,22.4,79568,1,22.19,536
85675,2/15/2007,22.84,256365,1,22.42,936
85675,2/16/2007,22.85,96437,1,22.84,683
85675,2/20/2007,22.94,85931,1,22.91,531
85675,2/21/2007,24.33,1429575,1,24.44,7058
85675,2/22/2007,24.95,238278,1,24.31,1659
85675,2/23/2007,24.22,194964,1,24.9,1229
85675,2/26/2007,24,244422,1,24.33,1555
85675,2/27/2007,23.04,340821,1,23.89,2293
85675,2/28/2007,23.05,174058,1,23.03,1127
85675,3/1/2007,22.76,181001,1,22.82,1117
85675,3/2/2007,22.06,214512,1,22.54,1628
85675,3/5/2007,21.94,191261,1,22.05,1450
85675,3/6/2007,22.61,189446,1,22,1447
85675,3/7/2007,22.52,135815,1,22.72,961
85675,3/8/2007,22.81,181878,1,22.66,1291
85675,3/9/2007,23.07,143086,1,23.01,1068
85675,3/12/2007,23.5,285589,1,22.99,1660
85675,3/13/2007,23.52,370529,1,23.38,2527
85675,3/14/2007,23.75,237683,1,23.42,1737
85675,3/15/2007,24,204245,1,23.78,901
85675,3/16/2007,23.81,333651,1,23.99,1124
85675,3/19/2007,23.92,226988,1,24.01,1044
85675,3/20/2007,23.93,82379,1,23.86,552
85675,3/21/2007,24.34,166341,1,23.92,845
85675,3/22/2007,24.35,95531,1,24.43,631
85675,3/23/2007,24.5,115364,1,24.29,758
85675,3/26/2007,24.44,107066,1,24.43,599
85675,3/27/2007,24.43,100074,1,24.41,696
85675,3/28/2007,24.32,244513,1,24.24,458
85675,3/29/2007,24.29,169966,1,24.4,1009
85675,3/30/2007,24.49,141883,1,24.29,726
85675,4/2/2007,24.48,175833,1,24.5,725
85675,4/3/2007,24.7,246143,1,24.5,1513
85675,4/4/2007,24.56,157527,1,24.64,876
85675,4/5/2007,24.65,135873,1,24.6,898
85675,4/9/2007,24.55,138482,1,24.62,912
85675,4/10/2007,24.91,99469,1,24.6,748
85675,4/11/2007,24.6,350923,1,24.9,1011
85675,4/12/2007,24.58,149673,1,24.53,822
85675,4/13/2007,24.73,77189,1,24.54,430
85675,4/16/2007,24.95,86556,1,24.77,514
85675,4/17/2007,25.09,180986,1,24.92,1142
85675,4/18/2007,25.04,100607,1,25.03,581
85675,4/19/2007,25.09,156881,1,24.87,867
85675,4/20/2007,25.24,116163,1,25.2,615
85675,4/23/2007,24.35,358932,1,25.11,2204
85675,4/24/2007,25.02,526436,1,24.86,2451
85675,4/25/2007,23.53,705852,1,24.4,3891
85675,4/26/2007,23.76,260132,1,23.47,1383
85675,4/27/2007,23.15,159450,1,23.67,1061
85675,4/30/2007,22.95,382428,1,23.14,1942
85675,5/1/2007,23.24,293158,1,22.98,1374
85675,5/2/2007,23.29,435601,1,23.31,2433
85675,5/3/2007,23.18,488519,1,23.27,1760
85675,5/4/2007,23.29,187344,1,23.25,1189
85675,5/7/2007,23.52,125949,1,23.23,945
85675,5/8/2007,23.8,234136,1,23.46,1549
85675,5/9/2007,23.92,216546,1,23.76,1304
85675,5/10/2007,23.93,260477,1,23.88,1792
85675,5/11/2007,24.02,189834,1,24.14,1065
85675,5/14/2007,23.69,313193,1,23.98,1082
85675,5/15/2007,23.03,267590,1,23.6,1802
85675,5/16/2007,23.42,234129,1,23.15,1408
85675,5/17/2007,23.49,487078,1,23.32,1965
85675,5/18/2007,23.74,140703,1,23.6,1030
85675,5/21/2007,24.1,189125,1,23.69,1245
85675,5/22/2007,24.31,257655,1,24.04,1457
85675,5/23/2007,24.38,155595,1,24.37,991
85675,5/24/2007,24.4,247478,1,24.33,1379
85675,5/25/2007,24.41,177620,1,24.4,718
85675,5/29/2007,24.5,149356,1,24.5,711
85675,5/30/2007,24.54,114650,1,24.35,731
85675,5/31/2007,24.61,309470,1,24.61,941
85675,6/1/2007,24.65,301413,1,24.74,828
85675,6/4/2007,24.57,114614,1,24.9,738
85675,6/5/2007,24.36,120585,1,24.5,842
85675,6/6/2007,24.01,95128,1,24.17,647
85675,6/7/2007,23.6,123158,1,24,781
85675,6/8/2007,23.85,71996,1,23.59,610
85675,6/11/2007,23.95,119558,1,23.78,850
85675,6/12/2007,23.68,97819,1,23.82,784
85675,6/13/2007,23.77,128681,1,23.69,554
85675,6/14/2007,23.74,327497,1,23.74,729
85675,6/15/2007,23.66,305346,1,23.99,1005
85675,6/18/2007,23.71,200904,1,23.67,954
85675,6/19/2007,24.18,196281,1,23.64,1005
85675,6/20/2007,24.49,212579,1,24.17,1450
85675,6/21/2007,24.74,179948,1,24.39,1348
85675,6/22/2007,24.73,956644,1,24.7,1892
85675,6/25/2007,24.83,769946,1,24.66,1796
85675,6/26/2007,24.68,206094,1,24.86,1137
85675,6/27/2007,24.5,223621,1,24.56,1583
85675,6/28/2007,24.48,150861,1,24.51,1126
85675,6/29/2007,24.14,153068,1,24.52,1006
85675,7/2/2007,24.32,261136,1,24.17,1256
85675,7/3/2007,24.51,49050,1,24.31,321
85675,7/5/2007,24.54,92591,1,24.55,642
85675,7/6/2007,24.37,112775,1,24.53,820
85675,7/9/2007,24.66,158178,1,24.36,871
85675,7/10/2007,24.1,245730,1,24.52,1458
85675,7/11/2007,24.21,116002,1,24.07,779
85675,7/12/2007,24.25,157020,1,24.23,710
85675,7/13/2007,24.25,207146,1,24.28,1001
85675,7/16/2007,24.11,216099,1,24.23,1258
85675,7/17/2007,24.51,265584,1,24.42,1703
85675,7/18/2007,24.33,210691,1,24.9,1278
85675,7/19/2007,24.86,535261,1,24.49,1130
85675,7/20/2007,24.25,159668,1,24.81,1035
