PERMNO,date,VOL,PRC,OPENPRC
81774,1/3/2007,14232300,25.245,27.02
81774,1/4/2007,11067100,25.48,24.7
81774,1/5/2007,7620200,25.74,25.88
81774,1/8/2007,7582400,26.125,25.975
81774,1/9/2007,6868800,25.95,26.075
81774,1/10/2007,6214100,26.595,25.905
81774,1/11/2007,5364300,26.895,26.31
81774,1/12/2007,5440000,27.505,26.8
81774,1/16/2007,9091700,26.7,27.4
81774,1/17/2007,7923400,26.745,26.765
81774,1/18/2007,7101600,26.29,26.975
81774,1/19/2007,6070400,26.975,26.5
81774,1/22/2007,6023100,26.375,26.55
81774,1/23/2007,8370300,27.485,26.555
81774,1/24/2007,8516100,28.17,27.625
81774,1/25/2007,13713900,29.19,28.475
81774,1/26/2007,6505600,29.245,28.9
81774,1/29/2007,10355500,27.545,28.635
81774,1/30/2007,8795400,28.25,28
81774,1/31/2007,5576200,28.755,28.15
81774,2/1/2007,7355000,28.385,28.91
81774,2/2/2007,8442300,27.62,27.75
81774,2/5/2007,5655100,27.28,27.9
81774,2/6/2007,5268600,27.205,27.505
81774,2/7/2007,4084000,26.98,27.205
81774,2/8/2007,8072700,26.715,27.04
81774,2/9/2007,8077000,26.825,27.005
81774,2/12/2007,3232881,26.625,26.325
81774,2/13/2007,8857763,28.095,27.07
81774,2/14/2007,9351682,28.315,28.205
81774,2/15/2007,8815900,28.92,28.85
81774,2/16/2007,3803500,28.78,28.615
81774,2/20/2007,3603800,28.245,28.45
81774,2/21/2007,6270200,29.24,28.245
81774,2/22/2007,7146700,29.78,29.56
81774,2/23/2007,5081900,29.955,29.905
81774,2/26/2007,10933660,30.96,30.51
81774,2/27/2007,14601100,27.875,29.775
81774,2/28/2007,11056500,28.705,28.055
81774,3/1/2007,7577568,28.11,28
81774,3/2/2007,8300500,27.315,27.985
81774,3/5/2007,9901300,26.545,26.675
81774,3/6/2007,5676027,27.72,27.35
81774,3/7/2007,5461051,28.095,27.845
81774,3/8/2007,10752600,28.825,28.68
81774,3/9/2007,8879118,28.37,29.15
81774,3/12/2007,9448634,28.97,28.37
81774,3/13/2007,6899200,28.01,28.76
81774,3/14/2007,13870370,28.19,28.03
81774,3/15/2007,18182730,30.08,28.72
