PERMNO,date,PRC,VOL,CFACPR,OPENPRC,NUMTRD
12060,2007/01/03,37.97000,43225000,1,37.41000,
12060,2007/01/04,37.75000,31305200,1,37.97000,
12060,2007/01/05,37.56000,27027200,1,37.57000,
12060,2007/01/08,37.55000,23716200,1,37.45000,
12060,2007/01/09,37.55000,24606300,1,37.78000,
12060,2007/01/10,37.56000,23996700,1,37.38000,
12060,2007/01/11,37.92000,30832800,1,37.50000,
12060,2007/01/12,37.89000,25944000,1,37.84000,
12060,2007/01/16,38.11000,31118200,1,38.00000,
12060,2007/01/17,37.98000,30462800,1,38.18000,
12060,2007/01/18,38.00000,41617500,1,38.01000,
12060,2007/01/19,36.95000,62908200,1,37.15000,
12060,2007/01/22,36.75000,41384700,1,37.13000,
12060,2007/01/23,36.55000,35135800,1,36.68000,
12060,2007/01/24,36.64000,21458500,1,36.70000,
12060,2007/01/25,36.34000,25833700,1,36.65000,
12060,2007/01/26,36.07000,25923800,1,36.45000,
12060,2007/01/29,36.19000,24952100,1,36.07000,
12060,2007/01/30,36.03000,43149600,1,36.20000,
12060,2007/01/31,36.05000,36164300,1,36.00000,
12060,2007/02/01,36.23000,37869500,1,36.18000,
12060,2007/02/02,36.27000,25111700,1,36.26000,
12060,2007/02/05,36.37000,26202600,1,36.27000,
12060,2007/02/06,36.31000,22730000,1,36.40000,
12060,2007/02/07,36.10000,21371700,1,36.32000,
12060,2007/02/08,35.74000,33680200,1,36.06000,
12060,2007/02/09,35.53000,29808900,1,35.71000,
12060,2007/02/12,35.64000,19011940,1,35.55000,
12060,2007/02/13,35.77000,22963240,1,35.64000,
12060,2007/02/14,36.37000,31907470,1,35.93000,
12060,2007/02/15,36.14000,28618800,1,36.36000,
12060,2007/02/16,35.87000,31051900,1,36.07000,
12060,2007/02/20,36.11000,23545600,1,35.86000,
12060,2007/02/21,35.91000,34671200,1,35.99000,
12060,2007/02/22,35.40000,37665000,1,35.82000,
12060,2007/02/23,35.10000,38153300,1,35.33000,
12060,2007/02/26,35.34000,28913040,1,35.26000,
12060,2007/02/27,34.66000,62856800,1,35.30000,
12060,2007/02/28,34.91000,50721500,1,34.80000,
12060,2007/03/01,35.00000,51384520,1,34.61000,
12060,2007/03/02,34.87000,45180100,1,34.93000,
12060,2007/03/05,34.55000,32873500,1,34.74000,
12060,2007/03/06,34.72000,33997980,1,34.73000,
12060,2007/03/07,34.33000,38992600,1,34.74000,
12060,2007/03/08,34.45000,29124500,1,34.60000,
12060,2007/03/09,34.32000,34229780,1,34.57000,
12060,2007/03/12,34.44000,30206600,1,34.28000,
12060,2007/03/13,34.09000,38897700,1,34.27000,
12060,2007/03/14,34.31000,40566030,1,34.09000,
12060,2007/03/15,34.52000,35824710,1,34.20000,
12060,2007/03/16,34.36000,44797600,1,34.60000,
12060,2007/03/19,34.67000,26530120,1,34.50000,
12060,2007/03/20,34.77000,28264310,1,34.63000,
12060,2007/03/21,35.48000,50436060,1,34.75000,
12060,2007/03/22,35.81000,35702380,1,35.44000,
12060,2007/03/23,35.82000,33463900,1,35.79000,
12060,2007/03/26,36.00000,29675280,1,35.85000,
12060,2007/03/27,35.79000,29677260,1,35.80000,
12060,2007/03/28,35.55000,41421420,1,35.70000,
12060,2007/03/29,35.55000,27471800,1,35.60000,
12060,2007/03/30,35.36000,34170090,1,35.56000,
12060,2007/04/02,35.29000,23496170,1,35.36000,
12060,2007/04/03,35.32000,32448780,1,35.43000,
12060,2007/04/04,35.11000,34699640,1,35.37000,
12060,2007/04/05,35.02000,26625220,1,35.13000,
12060,2007/04/09,34.78000,26456060,1,35.10000,
12060,2007/04/10,34.88000,29280100,1,34.80000,
12060,2007/04/11,34.95000,30510070,1,35.00000,
12060,2007/04/12,35.18000,30796400,1,35.16000,
12060,2007/04/13,35.38000,35643790,1,35.60000,
12060,2007/04/16,35.36000,33807920,1,35.50000,
12060,2007/04/17,35.20000,38380290,1,35.37000,
12060,2007/04/18,35.13000,37991230,1,35.16000,
12060,2007/04/19,35.00000,40446700,1,35.05000,
12060,2007/04/20,35.13000,58379480,1,35.23000,
12060,2007/04/23,34.80000,35156950,1,35.13000,
12060,2007/04/24,34.76000,37458130,1,34.80000,
12060,2007/04/25,35.41000,45029160,1,34.98000,
12060,2007/04/26,35.84000,46165000,1,35.46000,
12060,2007/04/27,36.84000,91717250,1,36.10000,
12060,2007/04/30,36.86000,50198690,1,36.90000,
12060,2007/05/01,37.10000,43962620,1,36.82000,
12060,2007/05/02,37.31000,40929680,1,37.12000,
12060,2007/05/03,37.34000,28201560,1,37.34000,
12060,2007/05/04,37.15000,30042630,1,37.44000,
12060,2007/05/07,37.24000,20778290,1,37.23000,
12060,2007/05/08,37.08000,26647460,1,37.09000,
12060,2007/05/09,37.26000,29427250,1,36.92000,
12060,2007/05/10,36.78000,27344700,1,37.10000,
12060,2007/05/11,36.97000,20651280,1,36.80000,
12060,2007/05/14,36.60000,27717280,1,37.00000,
