PERMNO,date,PRC,VOL,CFACPR,OPENPRC,NUMTRD
86868,2007/01/03,200.72000,6513200,1,200.60001,
86868,2007/01/04,198.85001,6478800,1,200.22000,
86868,2007/01/05,199.05000,6037000,1,198.42999,
86868,2007/01/08,203.73000,7851500,1,199.05000,
86868,2007/01/09,204.08000,7177300,1,203.53999,
86868,2007/01/10,208.11000,8022400,1,203.39999,
86868,2007/01/11,211.88000,9044400,1,208.34000,
86868,2007/01/12,213.99001,6618900,1,210.89999,
86868,2007/01/16,213.59000,5847200,1,200.00000,
86868,2007/01/17,213.23000,5359900,1,212.20000,
86868,2007/01/18,209.67999,6523200,1,213.75000,
86868,2007/01/19,210.28999,5340300,1,209.08000,
86868,2007/01/22,212.97000,4980700,1,211.09000,
86868,2007/01/23,212.64000,6293400,1,212.82001,
86868,2007/01/24,220.10001,6387000,1,213.50999,
86868,2007/01/25,213.07001,7853800,1,219.83000,
86868,2007/01/26,213.50000,7458200,1,214.56000,
86868,2007/01/29,211.03999,5890700,1,213.89999,
86868,2007/01/30,208.78000,6001300,1,211.08000,
86868,2007/01/31,212.16000,7235700,1,208.30000,
86868,2007/02/01,212.00000,5751200,1,213.44000,
86868,2007/02/02,213.42999,3527000,1,211.00000,
86868,2007/02/05,212.55000,2995700,1,213.30000,
86868,2007/02/06,214.64999,3803100,1,213.28999,
86868,2007/02/07,213.55000,3622500,1,215.03000,
86868,2007/02/08,213.89999,5412700,1,212.09000,
86868,2007/02/09,213.28000,9113400,1,215.77000,
86868,2007/02/12,211.13000,5384589,1,213.75000,
86868,2007/02/13,212.53000,4022551,1,211.98000,
86868,2007/02/14,217.39999,7696800,1,213.70000,
86868,2007/02/15,216.82001,3627200,1,217.94000,
86868,2007/02/16,216.92000,3119100,1,215.96001,
86868,2007/02/20,220.94000,6225700,1,218.33000,
86868,2007/02/21,220.14999,5225500,1,219.25000,
86868,2007/02/22,218.97000,4273400,1,221.00000,
86868,2007/02/23,216.50000,5508000,1,219.16000,
86868,2007/02/26,214.00000,5552885,1,217.99001,
86868,2007/02/27,199.75999,18833400,1,209.75000,
86868,2007/02/28,201.75000,15944400,1,200.39999,
86868,2007/03/01,199.66000,14142400,1,197.12000,
86868,2007/03/02,195.67000,9843100,1,198.20000,
86868,2007/03/05,190.00000,13403730,1,193.55000,
86868,2007/03/06,197.37000,10796670,1,193.89999,
86868,2007/03/07,195.59000,8459500,1,197.48000,
86868,2007/03/08,199.94000,10789800,1,198.03000,
86868,2007/03/09,201.70000,7677800,1,202.95000,
86868,2007/03/12,202.60001,9623400,1,200.00000,
86868,2007/03/13,199.03000,31968500,1,204.96001,
86868,2007/03/14,200.14999,20393010,1,200.00000,
86868,2007/03/15,200.89000,9741900,1,200.00000,
86868,2007/03/16,199.00000,10875200,1,200.78999,
86868,2007/03/19,202.44000,8186284,1,201.32001,
86868,2007/03/20,204.00000,6643400,1,202.49001,
86868,2007/03/21,210.95000,10935530,1,205.34000,
86868,2007/03/22,210.08000,8016025,1,211.70000,
86868,2007/03/23,211.89000,5106833,1,210.06000,
86868,2007/03/26,211.73000,6525087,1,212.00999,
86868,2007/03/27,209.87000,4806200,1,211.00999,
86868,2007/03/28,206.75999,7991433,1,208.21001,
86868,2007/03/29,207.20000,6380758,1,208.09000,
86868,2007/03/30,206.63000,5176915,1,207.44000,
86868,2007/04/02,205.64999,5797000,1,207.67000,
86868,2007/04/03,209.75000,5015250,1,207.00000,
86868,2007/04/04,208.78999,4141703,1,209.45000,
86868,2007/04/05,207.92999,3010738,1,208.50000,
86868,2007/04/09,208.94000,3610533,1,208.57001,
