PERMNO,date,PRC,VOL,CFACPR,OPENPRC,NUMTRD
66181,2007/01/03,41.07000,50856600,1,41.30000,
66181,2007/01/04,40.57000,22322800,1,41.00000,
66181,2007/01/05,39.79000,21676500,1,40.44000,
66181,2007/01/08,39.49000,17465500,1,39.94000,
66181,2007/01/09,39.32000,20341400,1,39.50000,
66181,2007/01/10,39.78000,15324600,1,39.84000,
66181,2007/01/11,40.08000,12149100,1,39.65000,
66181,2007/01/12,40.11000,11218600,1,39.95000,
66181,2007/01/16,40.29000,12639900,1,40.00000,
66181,2007/01/17,40.29000,12729000,1,40.19000,
66181,2007/01/18,40.87000,18814800,1,40.05000,
66181,2007/01/19,40.55000,12125900,1,40.97000,
66181,2007/01/22,40.05000,14165800,1,40.66000,
66181,2007/01/23,40.43000,11380400,1,40.03000,
66181,2007/01/24,40.69000,9836900,1,40.52000,
66181,2007/01/25,40.09000,11086200,1,40.53000,
66181,2007/01/26,39.94000,9797400,1,40.12000,
66181,2007/01/29,39.91000,12147600,1,40.30000,
66181,2007/01/30,40.17000,8671700,1,40.11000,
66181,2007/01/31,40.74000,11630100,1,39.97000,
66181,2007/02/01,41.08000,12544200,1,40.77000,
66181,2007/02/02,40.83000,9928300,1,40.90000,
66181,2007/02/05,41.03000,9017400,1,40.67000,
66181,2007/02/06,41.27000,8096800,1,41.09000,
66181,2007/02/07,41.36000,8347100,1,41.22000,
66181,2007/02/08,41.09000,11976500,1,41.22000,
66181,2007/02/09,41.00000,9320000,1,41.22000,
66181,2007/02/12,41.44000,18480890,1,41.62000,
66181,2007/02/13,41.76000,13174870,1,41.29000,
66181,2007/02/14,41.73000,20514780,1,41.72000,
66181,2007/02/15,41.66000,10828700,1,41.57000,
66181,2007/02/16,41.44000,11037300,1,41.50000,
66181,2007/02/20,41.34000,17903900,1,40.74000,
66181,2007/02/21,41.30000,11916800,1,40.89000,
66181,2007/02/22,41.18000,9484800,1,41.17000,
66181,2007/02/23,40.96000,13729700,1,41.42000,
66181,2007/02/26,40.79000,12198640,1,41.00000,
66181,2007/02/27,39.82000,23498500,1,40.49000,
66181,2007/02/28,39.59000,26121600,1,39.29000,
66181,2007/03/01,39.45000,21139520,1,39.17000,
66181,2007/03/02,39.01000,19521700,1,39.31000,
66181,2007/03/05,38.67000,22836100,1,38.75000,
66181,2007/03/06,38.80000,17472900,1,39.02000,
66181,2007/03/07,38.71000,12320700,1,38.71000,
66181,2007/03/08,38.80000,11707100,1,38.77000,
66181,2007/03/09,38.67000,11988600,1,39.15000,
66181,2007/03/12,38.17000,14195400,1,38.41000,
66181,2007/03/13,37.35000,21392500,1,38.03000,
66181,2007/03/14,37.56000,24242370,1,37.28000,
66181,2007/03/15,37.49000,10151050,1,37.46000,
66181,2007/03/16,37.51000,16888650,1,37.60000,
66181,2007/03/19,37.72000,9396175,1,37.65000,
66181,2007/03/20,37.93000,11080750,1,37.65000,
66181,2007/03/21,38.74000,15305310,1,37.89000,
66181,2007/03/22,38.33000,9880940,1,38.61000,
66181,2007/03/23,38.22000,11566760,1,38.35000,
66181,2007/03/26,37.91000,11825300,1,38.15000,
66181,2007/03/27,37.34000,12841170,1,37.73000,
66181,2007/03/28,36.77000,13983680,1,37.18000,
66181,2007/03/29,36.82000,14383400,1,36.97000,
66181,2007/03/30,36.74000,12672200,1,36.77000,
66181,2007/04/02,36.79000,9918389,1,36.67000,
66181,2007/04/03,37.63000,15862340,1,36.89000,
66181,2007/04/04,38.11000,19170200,1,37.61000,
66181,2007/04/05,38.02000,10734900,1,37.94000,
66181,2007/04/09,38.08000,7312359,1,38.24000,
66181,2007/04/10,38.23000,10978610,1,38.09000,
66181,2007/04/11,37.97000,15915870,1,38.12000,
66181,2007/04/12,38.02000,11378070,1,37.89000,
66181,2007/04/13,37.89000,10763290,1,37.96000,
66181,2007/04/16,38.56000,11514290,1,38.00000,
66181,2007/04/17,39.44000,15722100,1,38.84000,
66181,2007/04/18,39.04000,11181930,1,39.39000,
66181,2007/04/19,38.91000,11032810,1,38.90000,
66181,2007/04/20,39.21000,13711840,1,39.33000,
