PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,CFACPR,OPENPRC
12490,2007/01/03,96.26000,98.40000,97.27000,9199500,97.23000,97.27000,1,97.18000
12490,2007/01/04,96.88000,98.79000,98.31000,10557000,98.31000,98.35000,1,97.25000
12490,2007/01/05,96.91000,97.95000,97.42000,7222300,97.44000,97.45000,1,97.60000
12490,2007/01/08,98.35000,99.50000,98.90000,10353000,98.90000,98.91000,1,98.50000
12490,2007/01/09,99.07000,100.33000,100.07000,11108900,100.03000,100.10000,1,99.08000
12490,2007/01/10,97.93000,99.05000,98.89000,8744800,98.89000,98.90000,1,98.50000
12490,2007/01/11,98.50000,99.90000,98.65000,8000800,98.63000,98.67000,1,99.00000
12490,2007/01/12,98.50000,99.69000,99.34000,6636500,99.20000,99.24000,1,98.99000
12490,2007/01/16,99.30000,100.84000,100.82000,9602200,100.73000,100.78000,1,99.40000
12490,2007/01/17,99.90000,100.90000,100.02000,8201500,100.07000,100.15000,1,100.69000
12490,2007/01/18,98.91000,99.95000,99.45000,14702500,99.25000,99.31000,1,99.80000
12490,2007/01/19,94.55000,96.85000,96.17000,26036000,96.15000,96.16000,1,95.00000
12490,2007/01/22,96.12000,97.23000,97.11000,13540700,97.10000,97.11000,1,96.42000
12490,2007/01/23,96.20000,97.38000,97.08000,10337400,97.02000,97.14000,1,96.91000
12490,2007/01/24,96.58000,97.58000,97.40000,5700000,97.31000,97.33000,1,97.08000
12490,2007/01/25,97.22000,97.92000,97.51000,6231300,97.53000,97.54000,1,97.22000
12490,2007/01/26,96.84000,97.83000,97.45000,5771100,97.45000,97.46000,1,97.52000
12490,2007/01/29,97.45000,98.66000,98.54000,7294800,98.56000,98.59000,1,97.70000
12490,2007/01/30,98.50000,99.45000,99.37000,7178000,99.37000,99.40000,1,98.57000
12490,2007/01/31,98.35000,99.48000,99.15000,6446400,99.10000,99.15000,1,98.80000
12490,2007/02/01,97.96000,99.18000,99.00000,6612400,99.00000,99.02000,1,98.97000
12490,2007/02/02,98.88000,99.73000,99.17000,6657000,99.18000,99.23000,1,99.10000
12490,2007/02/05,98.90000,100.44000,100.38000,8184800,100.25000,100.33000,1,99.17000
12490,2007/02/06,99.54000,100.40000,99.85000,6532800,99.85000,99.86000,1,100.00000
12490,2007/02/07,99.12000,100.36000,99.54000,7698200,99.54000,99.58000,1,99.80000
12490,2007/02/08,98.65000,99.74000,99.62000,6152300,99.66000,99.67000,1,98.90000
12490,2007/02/09,97.81000,99.70000,98.55000,6101100,98.56000,98.58000,1,99.52000
12490,2007/02/12,98.22000,99.20000,98.58000,5331043,98.60000,98.64000,1,98.80000
12490,2007/02/13,97.80000,98.74000,98.29000,5702815,98.27000,98.34000,1,98.60000
12490,2007/02/14,98.25000,99.43000,99.20000,5644733,99.22000,99.26000,1,98.50000
12490,2007/02/15,98.48000,99.52000,98.92000,5568600,98.95000,99.04000,1,99.06000
12490,2007/02/16,98.63000,99.25000,98.99000,4800700,98.97000,98.99000,1,99.12000
12490,2007/02/20,98.55000,99.46000,99.35000,4124200,99.35000,99.39000,1,98.66000
12490,2007/02/21,98.70000,99.37000,99.09000,4302400,99.09000,99.16000,1,98.90000
12490,2007/02/22,97.77000,99.50000,98.50000,5900200,98.54000,98.57000,1,98.80000
12490,2007/02/23,97.41000,98.44000,97.73000,6355900,97.71000,97.76000,1,98.40000
12490,2007/02/26,96.46000,97.86000,96.91000,5922491,96.91000,96.94000,1,97.86000
12490,2007/02/27,92.88000,96.01000,93.96000,12011700,93.95000,93.96000,1,96.00000
12490,2007/02/28,92.47000,94.09000,92.94000,12191600,92.94000,92.95000,1,93.71000
12490,2007/03/01,88.77000,93.05000,92.27000,12865730,92.20000,92.26000,1,90.25000
12490,2007/03/02,90.84000,92.37000,90.90000,9451300,90.95000,90.97000,1,92.00000
12490,2007/03/05,90.10000,92.15000,91.81000,10315710,91.68000,91.78000,1,90.25000
12490,2007/03/06,92.26000,93.89000,93.80000,9184400,93.78000,93.79000,1,92.40000
12490,2007/03/07,93.62000,94.85000,93.94000,10269300,93.96000,93.99000,1,93.97000
12490,2007/03/08,92.51900,94.82000,93.00000,7403900,92.98000,92.99000,1,94.50000
12490,2007/03/09,92.82000,94.00000,93.28000,6333100,93.25000,93.42000,1,93.48000
12490,2007/03/12,92.97000,94.17000,94.11000,5531300,94.11000,94.14000,1,93.29000
12490,2007/03/13,92.62000,94.47000,92.71000,7539000,92.69000,92.70000,1,93.86000
12490,2007/03/14,92.10000,94.03000,93.76000,8714065,93.76000,93.77000,1,92.65000
12490,2007/03/15,93.10000,93.97000,93.45000,5909949,93.44000,93.45000,1,93.40000
12490,2007/03/16,93.02000,94.45000,93.25000,8728650,93.25000,93.31000,1,94.45000
12490,2007/03/19,93.39000,94.32000,93.99000,4568062,94.00000,94.03000,1,93.95000
12490,2007/03/20,93.55000,94.53000,94.50000,4560000,94.47000,94.50000,1,94.00000
12490,2007/03/21,93.83000,95.81000,95.36000,7665695,95.34000,95.35000,1,94.50000
12490,2007/03/22,94.65000,95.44000,95.19000,5993550,95.16000,95.18000,1,95.10000
12490,2007/03/23,94.65000,95.22000,95.03000,4412483,95.01000,95.02000,1,94.82000
12490,2007/03/26,94.32000,95.25000,95.00000,6729345,94.98000,95.00000,1,95.00000
12490,2007/03/27,94.20000,95.03000,94.73000,4695800,94.68000,94.70000,1,94.71000
12490,2007/03/28,93.80000,95.02000,94.26000,8128557,94.16000,94.20000,1,93.90000
12490,2007/03/29,93.96000,95.11000,94.57000,6851600,94.55000,94.56000,1,94.66000
12490,2007/03/30,93.57000,94.75000,94.26000,7638050,94.23000,94.24000,1,94.24000
12490,2007/04/02,94.06000,95.50000,95.21000,5883700,95.21000,95.22000,1,94.51000
12490,2007/04/03,95.33000,96.23000,96.10000,5730800,96.04000,96.10000,1,95.45000
12490,2007/04/04,95.57000,96.45000,96.21000,4277725,96.15000,96.19000,1,95.80000
12490,2007/04/05,95.75000,96.75000,96.52000,3307100,96.51000,96.52000,1,95.98000
12490,2007/04/09,96.12000,96.94000,96.62000,4850581,96.58000,96.63000,1,96.43000
12490,2007/04/10,96.16420,96.80000,96.46000,3596400,96.46000,96.47000,1,96.40000
12490,2007/04/11,94.95000,96.70000,95.16000,5940774,95.13000,95.16000,1,96.51000
12490,2007/04/12,94.53000,95.82000,95.67000,7085294,95.68000,95.69000,1,95.03000
12490,2007/04/13,94.59000,95.75000,94.93000,6027783,94.89000,94.92000,1,95.75000
12490,2007/04/16,94.72000,96.30000,96.18000,6865100,96.10000,96.11000,1,94.99000
12490,2007/04/17,96.02000,97.66000,97.12000,10270030,97.12000,97.17000,1,96.30000
12490,2007/04/18,94.40000,95.91000,94.80000,15871630,94.79000,94.79000,1,94.80000
12490,2007/04/19,94.00000,94.87000,94.29000,9446748,94.28000,94.29000,1,94.50000
12490,2007/04/20,93.91100,95.15000,94.58000,9340296,94.59000,94.62000,1,95.02000
12490,2007/04/23,95.05000,95.73000,95.21000,7247500,95.26000,95.27000,1,95.16000
12490,2007/04/24,97.23000,99.90000,98.49000,21494580,98.54000,98.55000,1,97.23000
12490,2007/04/25,98.73000,101.70000,101.46000,14827380,101.47000,101.48000,1,98.74000
12490,2007/04/26,100.21000,101.50000,100.90000,8612088,100.87000,100.91000,1,101.00000
12490,2007/04/27,100.06000,101.17000,101.17000,6141359,101.12000,101.14000,1,100.30000
12490,2007/04/30,100.97000,103.00000,102.21000,10050600,102.20000,102.22000,1,101.11000
12490,2007/05/01,102.05000,103.17000,103.17000,8670046,103.15000,103.19000,1,102.06000
12490,2007/05/02,102.13000,103.14000,102.22000,6918178,102.19000,102.24000,1,102.80000
12490,2007/05/03,101.35000,103.00000,102.80000,7318750,102.76000,102.80000,1,101.75000
12490,2007/05/04,102.25000,103.03000,102.96000,5464834,102.95000,103.00000,1,102.75000
12490,2007/05/07,102.40000,103.17000,103.16000,5620178,103.13000,103.15000,1,102.76000
12490,2007/05/08,102.21000,103.39000,103.29000,5969600,103.31000,103.32000,1,102.42000
12490,2007/05/09,103.70000,104.75000,104.38000,8408086,104.40000,104.41000,1,103.93000
12490,2007/05/10,103.71000,105.11000,104.68000,8959800,104.71000,104.72000,1,103.82000
12490,2007/05/11,104.67000,105.99000,105.98000,6026050,105.96000,105.98000,1,104.69000
12490,2007/05/14,104.79000,106.25000,105.57000,5732600,105.53000,105.60000,1,105.81000
12490,2007/05/15,104.70000,105.80000,104.83000,6104300,104.79000,104.84000,1,105.40000
12490,2007/05/16,104.53000,105.89000,105.87000,5613508,105.84000,105.86000,1,105.10000
12490,2007/05/17,104.73000,106.23000,105.31000,7720700,105.28000,105.29000,1,105.61000
12490,2007/05/18,105.60000,108.05000,107.99000,9857500,107.97000,108.00000,1,105.84000
12490,2007/05/21,106.87000,108.00000,107.04000,7534202,106.89000,106.95000,1,107.67000
12490,2007/05/22,106.01000,107.25000,106.70000,5314320,106.67000,106.68000,1,106.95000
12490,2007/05/23,105.25000,107.00000,105.58000,4396825,105.45000,105.48000,1,106.80000
12490,2007/05/24,103.57000,105.98000,103.95000,6927000,103.89000,104.12000,1,105.45000
12490,2007/05/25,103.85000,105.43000,105.18000,6123000,105.11000,105.13000,1,103.90000
12490,2007/05/29,105.30000,106.63000,105.91000,5420500,105.77000,105.79000,1,105.57000
12490,2007/05/30,105.21000,107.10000,106.93000,7401000,106.97000,106.99000,1,105.40000
12490,2007/05/31,106.00000,107.67000,106.60000,5106100,106.00000,107.30000,1,107.26000
12490,2007/06/01,106.02000,107.24000,106.54000,5289190,106.50000,106.54000,1,106.62000
12490,2007/06/04,105.58000,106.59000,106.23000,4573470,105.86000,106.41000,1,106.50000
12490,2007/06/05,105.54000,106.55000,105.84000,5247000,105.83000,105.84000,1,106.55000
12490,2007/06/06,102.39000,105.51000,102.41000,30773880,102.48000,102.60000,1,105.50000
12490,2007/06/07,101.56000,103.17000,101.80000,14389420,101.40000,101.76000,1,102.46000
12490,2007/06/08,101.75000,103.21000,103.07000,8223300,103.05000,103.30000,1,101.80000
12490,2007/06/11,102.50000,104.00000,103.22000,7903004,103.15000,103.16000,1,102.87000
12490,2007/06/12,102.15000,103.18000,102.34000,5578530,102.33000,102.34000,1,103.11000
12490,2007/06/13,102.10000,103.26000,103.12000,6438338,103.10000,103.11000,1,102.85000
12490,2007/06/14,102.81000,104.24000,103.85000,5166100,103.80000,103.81000,1,103.10000
12490,2007/06/15,103.88000,105.19000,105.09000,9432208,105.08000,105.09000,1,104.22000
12490,2007/06/18,104.89000,105.65000,105.33000,6370224,105.33000,105.38000,1,105.27000
12490,2007/06/19,104.90000,106.66000,106.50000,5768300,106.61000,106.63000,1,104.93000
