PERMNO,date,BIDLO,ASKHI,PRC,BID,ASK,VOL,OPENPRC,CFACPR
88222,5/26/2000,45.28125,45.71875,45.71875,45.5,45.9375,38400,91.0625,2
88222,5/30/2000,46.375,47.40625,47.40625,47.6875,47.8125,28800,92.75,2
88222,5/31/2000,47.5625,48.1875,47.578125,47.28125,47.59375,18000,95.125,2
88222,6/1/2000,48.55469,48.65625,48.65625,49.21875,49.34375,3500,97.10938,2
88222,6/2/2000,50.859375,51.1875,51.1875,51.09375,51.40625,14700,101.71875,2
88222,6/5/2000,50.9375,51.5625,51,51.0625,51.375,24200,102.125,2
88222,6/6/2000,51.34375,52.40625,51.5,50.875,51,75900,103.60938,2
88222,6/7/2000,50.71875,51.5625,51.5625,51.46875,51.84375,65500,102.375,2
88222,6/8/2000,51.4375,52.125,51.4375,51.5625,51.6875,45700,104.25,2
88222,6/9/2000,51.90625,52.34375,52.34375,52.40625,52.53125,20800,103.875,2
88222,6/12/2000,50.75,52.5,50.789065,50.78125,50.90625,42600,105,2
88222,6/13/2000,50.1875,51.4375,51.4375,51.53125,51.65625,84100,101.32813,2
88222,6/14/2000,51.1875,51.859375,51.1875,50.9375,51.03125,21600,103.71875,2
88222,6/15/2000,50.382815,51.25,51.25,51.28125,51.40625,13400,101.75,2
88222,6/16/2000,50.96875,51.5,50.96875,51.21875,51.34375,15100,102.9375,2
88222,6/19/2000,51.015625,52.25,52.25,52.1875,52.3125,29600,102.5,2
88222,6/20/2000,52.125,52.671875,52.59375,52.5625,52.6875,23500,104.65625,2
88222,6/21/2000,52.125,52.9375,52.84375,52.671875,52.796875,33400,104.25,2
88222,6/22/2000,51.34375,53,51.34375,51.09375,51.21875,69600,106,2
88222,6/23/2000,50.5,51.75,50.90625,50.8125,50.9375,117900,103.5,2
88222,6/26/2000,50.875,51.53125,51.53125,51.5625,51.8125,46800,102.21875,2
88222,6/27/2000,50.71875,52.0625,50.71875,50.375,50.6875,56400,103.21875,2
88222,6/28/2000,50.9375,52.1875,52,51.9375,52.1875,85300,101.875,2
88222,6/29/2000,51.03125,51.84375,51.1875,51,51.3125,106100,103.5,2
88222,6/30/2000,50.796875,51.67969,51.67969,51.5,51.75,585900,102.4375,2
88222,7/3/2000,51.5,52.40625,52.40625,52.25,52.5625,7900,103.125,2
88222,7/5/2000,51.632815,52.125,51.8125,51.625,51.875,69400,104.21875,2
88222,7/6/2000,51.34375,52.421875,52.421875,52.25,52.5,77300,103.65625,2
88222,7/7/2000,52.42969,52.953125,52.75,52.6875,52.9375,35900,104.85938,2
88222,7/10/2000,52.71875,53.28125,53.09375,52.875,53.1875,22400,105.4375,2
88222,7/11/2000,52.84375,53.296875,53.03125,52.6875,52.9375,126600,106,2
88222,7/12/2000,53.25,54.09375,54.09375,53.9375,54.25,17500,106.625,2
88222,7/13/2000,54,54.265625,54.265625,54.0625,54.3125,51300,108.28125,2
88222,7/14/2000,53.875,54.546875,54.3125,54.1875,54.4375,27400,109.09375,2
88222,7/17/2000,54.21875,54.59375,54.5,54.5,54.75,23300,108.71875,2
88222,7/18/2000,53.5625,54.140625,53.5625,53.40625,53.53125,117700,108.28125,2
88222,7/19/2000,52.625,53.390625,52.625,52.625,52.9375,17700,106.78125,2
88222,7/20/2000,53.125,53.5,53.5,53.5625,53.8125,75200,106.25,2
88222,7/21/2000,52.03125,53.1875,52.03125,51.9375,52.1875,75300,106.375,2
88222,7/24/2000,51.164065,52.3125,51.27344,51.125,51.375,18500,104.625,2
88222,7/25/2000,51.0625,51.67969,51.375,51.4375,51.6875,18400,103.35938,2
88222,7/26/2000,50.46875,51.28125,51.28125,51.125,51.4375,7900,102,2
88222,7/27/2000,49.875,51.17969,49.875,49.6875,50.0625,137500,102.35938,2
88222,7/28/2000,48.875,50.164065,49,48.8125,49.125,85800,100.32813,2
88222,7/31/2000,48.6875,50.09375,50.09375,50.1875,50.4375,83000,98.5,2
88222,8/1/2000,49.640625,50.0625,49.921875,49.625,50,131700,99.75,2
88222,8/2/2000,49.5,50.28125,50,49.875,50.125,194300,99.25,2
88222,8/3/2000,49.03125,50.0625,50.0625,49.8125,50.125,539900,98.0625,2
88222,8/4/2000,49.921875,50.578125,50.21875,50.25,50.625,285200,101.125,2
88222,8/7/2000,50.40625,51.14844,51.14844,50.875,51.1875,44100,100.8125,2
88222,8/8/2000,50.90625,51.15625,50.90625,50.8125,51.125,24800,102,2
88222,8/9/2000,50.539065,51.28125,50.539065,50.375,50.6875,11500,102.5625,2
88222,8/10/2000,50.09375,50.59375,50.25,50.015625,50.21875,21500,101.09375,2
88222,8/11/2000,49.75,51.125,51.125,51.078125,51.1875,88000,99.5,2
88222,8/14/2000,50.9375,51.65625,51.65625,51.421875,51.65625,28400,101.9375,2
88222,8/15/2000,50.90625,51.625,50.90625,50.890625,51.125,94600,103.09375,2
88222,8/16/2000,50.9375,51.53125,51.15625,51.234375,51.46875,109700,102.25,2
88222,8/17/2000,51.21875,51.84375,51.625,51.578125,51.8125,179400,102.6875,2
88222,8/18/2000,51.4375,51.9375,51.546875,51.453125,51.6875,26100,103.625,2
88222,8/21/2000,51.40625,51.921875,51.734375,51.515625,51.75,64600,103.75,2
88222,8/22/2000,51.65625,52.09375,51.65625,51.703125,51.9375,97800,103.53125,2
88222,8/23/2000,51.375,51.75,51.578125,51.703125,51.9375,76500,103.1875,2
88222,8/24/2000,51.859375,52.625,52.34375,52.265625,52.5625,138100,103.71875,2
88222,8/25/2000,52.21875,52.6875,52.5625,52.546875,52.765625,104300,104.75,2
88222,8/28/2000,52.5625,53.125,52.65625,52.390625,52.625,78000,105.625,2
88222,8/29/2000,52.625,53.15625,53.15625,53.125,53.234375,70100,105.5625,2
88222,8/30/2000,52.921875,53.40625,53.21875,53.203125,53.4375,309500,106.21875,2
88222,8/31/2000,53.40625,54.15625,53.75,53.59375,53.828125,75600,106.8125,2
88222,9/1/2000,53.74219,54.28125,54.1875,54.1875,54.390625,93300,108,2
88222,9/5/2000,53.8125,54.28125,53.8125,53.765625,54,55200,108.23438,2
88222,9/6/2000,53.5,54.0625,53.578125,53.546875,53.78125,108800,108.125,2
88222,9/7/2000,53.8125,54.40625,54.375,54.25,54.46875,106900,107.625,2
88222,9/8/2000,53.4375,54.21875,53.4375,53.359375,53.5625,64300,108.20313,2
88222,9/11/2000,53.3125,53.914065,53.5,53.359375,53.59375,157300,107.42188,2
88222,9/12/2000,53.25,53.8125,53.328125,53.203125,53.4375,46500,107.625,2
88222,9/13/2000,53.09375,53.6875,53.59375,53.421875,53.65625,40600,106.1875,2
88222,9/14/2000,53.58594,54.109375,53.90625,53.921875,54.15625,57000,107.65625,2
88222,9/15/2000,52.8125,53.6875,52.90625,52.828125,53.0625,33500,107.25,2
88222,9/18/2000,51.507815,53.140625,51.65625,51.609375,51.8125,100700,106.28125,2
88222,9/19/2000,51.632815,52.6875,52.5,52.5,52.609375,26800,103.96875,2
88222,9/20/2000,51.625,52.3125,51.90625,51.859375,52.09375,20200,104.625,2
88222,9/21/2000,50.9375,52,50.9375,50.890625,51.125,103100,104,2
88222,9/22/2000,50,51.59375,51.59375,51.859375,52.09375,63800,100,2
88222,9/25/2000,51.625,52.17969,51.65625,51.234375,51.53125,56900,104.35938,2
88222,9/26/2000,50.65625,51.625,50.921875,50.703125,50.9375,32400,103.25,2
88222,9/27/2000,50.5,51.40625,50.6875,50.671875,50.90625,21800,102.3125,2
88222,9/28/2000,50.78125,52.15625,52.0625,52.046875,52.28125,60500,101.625,2
88222,9/29/2000,51.8125,52.195315,51.8125,51.765625,51.9375,65000,104.03125,2
88222,10/2/2000,50.96875,52.203125,50.96875,50.875,51.25,84800,104.40625,2
88222,10/3/2000,50.226565,51.58594,50.226565,50.125,50.5,75500,103.17188,2
88222,10/4/2000,49.8125,50.578125,50.578125,50.5625,50.875,49900,100.90625,2
88222,10/5/2000,50.03125,50.8125,50.0625,50.0625,50.375,204400,101.25,2
88222,10/6/2000,48.78125,50.15625,48.84375,48.75,49.0625,92800,100.3125,2
88222,10/9/2000,48.3125,48.875,48.734375,48.625,49,180900,97.75,2
88222,10/10/2000,47.5625,49.05469,47.5625,47.5,47.8125,210200,97.59375,2
88222,10/11/2000,47,47.8125,47.40625,47.125,47.5,84100,95.4375,2
88222,10/12/2000,45.96875,47.84375,45.96875,46,46.3125,80700,95.6875,2
88222,10/13/2000,46.0625,48.140625,47.75,47.6875,48,189400,92.1875,2
88222,10/16/2000,47.71875,48.53125,48.125,48.0625,48.375,549000,96,2
88222,10/17/2000,46.570315,48.257815,46.914065,46.8125,47.125,132900,96.25,2
88222,10/18/2000,45.625,46.8125,46.53125,46.4375,46.8125,171800,91.64063,2
88222,10/19/2000,47.28125,48.09375,47.96875,48,48.3125,75300,94.5625,2
88222,10/20/2000,48.320315,49.03125,48.578125,48.5625,48.9375,132400,96.6875,2
88222,10/23/2000,48.664065,49.125,49.0625,49.0625,49.375,71600,97.6875,2
88222,10/24/2000,48.34375,49.53125,48.34375,48.25,48.625,36900,98.4375,2
88222,10/25/2000,47.265625,48.5,47.265625,47.1875,47.4375,16500,96.5,2
88222,10/26/2000,46.84375,48,48,48.125,48.4375,52900,95.42188,2
88222,10/27/2000,47.625,48.25,48.03125,48,48.375,69400,95.25,2
88222,10/30/2000,47.53125,48.53125,48.25,48.1875,48.5,36800,95.875,2
88222,10/31/2000,48.4375,49.67969,49.5,49.5,49.875,142500,96.875,2
88222,11/1/2000,49.28125,49.71875,49.53125,49.4375,49.75,264100,98.6875,2
88222,11/2/2000,49.875,50.8125,50.71875,50.5625,50.8125,105900,99.78125,2
88222,11/3/2000,50.375,50.8125,50.65625,50.5625,50.875,112100,101.59375,2
88222,11/6/2000,50.21875,51.09375,50.265625,50.3125,50.6875,34100,102.1875,2
88222,11/7/2000,50.0625,50.6875,50.6875,50.4375,50.8125,39700,100.59375,2
88222,11/8/2000,49.78125,50.75,49.78125,49.625,50,96300,101.4375,2
88222,11/9/2000,48.53125,49.6875,49.25,49.125,49.5,124500,98.75,2
88222,11/10/2000,48,49.375,48,47.75,48.0625,94500,98.75,2
88222,11/13/2000,46.3125,47.890625,47.515625,47.375,47.75,80400,95,2
88222,11/14/2000,48.375,48.8125,48.65625,48.75,49.125,64800,96.875,2
88222,11/15/2000,48.5625,49.4375,49.28125,49.0625,49.375,271100,97.4375,2
