PERMNO,date,VOL,PRC,OPENPRC
69032,1/3/2007,4816400,68.42918058,68.68908067
69032,1/4/2007,5038100,68.67231293,68.13574498
69032,1/5/2007,4674400,67.79200614,68.20281598
69032,1/8/2007,4852800,68.20281598,67.58240929
69032,1/9/2007,5058600,68.04352237,68.07705786
69032,1/10/2007,5970500,68.38726121,67.68301578
69032,1/11/2007,5240400,69.05797114,68.28665472
69032,1/12/2007,4374100,69.46878097,68.84837428
69032,1/16/2007,4301500,69.25918411,69.6532262
69032,1/17/2007,3211300,69.06635501,69.25918411
69032,1/18/2007,4150800,68.08544174,69.82090368
69032,1/19/2007,3554500,68.32857409,68.37049346
69032,1/22/2007,6322900,69.8460553,68.32857409
69032,1/23/2007,3702900,69.26756799,69.70352944
69032,1/24/2007,4471100,70.96949444,69.41009385
69032,1/25/2007,4132500,68.93221302,70.81020083
69032,1/26/2007,4228400,68.84837428,68.9405969
69032,1/29/2007,4217900,68.00998687,69.33463898
69032,1/30/2007,3912100,68.51301932,68.32857409
69032,1/31/2007,5834800,69.41009385,68.51301932
69032,2/1/2007,5157000,70.29878451,69.97181342
69032,2/2/2007,3887900,70.45807811,70.32393613
69032,2/5/2007,3323900,69.81251981,70.14787477
69032,2/6/2007,3835100,69.69514557,69.96342954
69032,2/7/2007,3291100,69.78736818,70.17302639
69032,2/8/2007,3714700,69.43524547,69.56938746
69032,2/9/2007,7112700,68.56332256,69.3933261
69032,2/12/2007,4911478,67.30574144,68.61362581
69032,2/13/2007,3921836,68.11897723,67.34766082
69032,2/14/2007,4194861,69.04958726,68.47109995
69032,2/15/2007,3013800,69.43524547,68.83999041
69032,2/16/2007,4449800,69.04958726,69.02443564
69032,2/20/2007,4612400,69.8460553,69.03281951
69032,2/21/2007,4392300,69.74544881,69.32625511
69032,2/22/2007,4159400,69.37655835,69.92151017
69032,2/23/2007,5406200,67.88422876,69.12504213
69032,2/26/2007,7992308,65.8301796,67.99321912
69032,2/27/2007,13277600,62.14965886,64.11986928
69032,2/28/2007,10751200,62.81198492,62.5269332
69032,3/1/2007,10629760,62.95451078,60.92561324
69032,3/2/2007,7822500,61.53763605,62.60238806
69032,3/5/2007,11012900,60.0620742,60.48965178
69032,3/6/2007,10786600,61.66339416,60.78308738
69032,3/7/2007,8245400,61.94844588,61.87299101
69032,3/8/2007,7356600,63.22279475,62.51016545
69032,3/9/2007,8619100,63.71744332,63.70067557
69032,3/12/2007,7317600,63.76774657,62.83713654
69032,3/13/2007,11908800,60.43096467,63.16410763
69032,3/14/2007,13037200,61.88137489,60.28843881
69032,3/15/2007,6363100,62.78683329,61.49571668
69032,3/16/2007,7464500,62.38440734,63.10542051
69032,3/19/2007,6141200,62.89582366,62.87905591
69032,3/20/2007,5740880,63.80966594,62.87067203
69032,3/21/2007,17640290,68.18604823,65.77149248
69032,3/22/2007,8325988,68.01837074,67.75847065
69032,3/23/2007,6088579,67.99321912,67.26382207
69032,3/26/2007,9221645,67.38119631,68.32857409
69032,3/27/2007,6341600,66.62664764,67.38119631
