PERMNO,date,VOL,NUMTRD,PRC,OPENPRC
86580,1/3/2007,19273722,67875,24.05333333,24.71333333
86580,1/4/2007,15957279,53389,23.94,23.96666667
86580,1/5/2007,20729060,75741,22.44,23.37333333
86580,1/8/2007,10955217,43714,22.60666667,22.52
86580,1/9/2007,12750524,48630,22.16666667,22.64
86580,1/10/2007,18501996,72998,23.26,21.93333333
86580,1/11/2007,15439481,52091,23.17333333,23.26
86580,1/12/2007,11663815,44823,23.48666667,22.82666667
86580,1/16/2007,11880274,42372,23.52666667,23.66666667
86580,1/17/2007,11810980,42416,23.03333333,23.2
86580,1/18/2007,25054961,82178,21.12666667,22.83333333
86580,1/19/2007,15725365,59144,21.253,20.9
86580,1/22/2007,12371897,42732,21.25333333,21.45333333
86580,1/23/2007,10521918,43016,21.26,21.15333333
86580,1/24/2007,11429058,39612,21.92,21.53333333
86580,1/25/2007,10284573,39899,21.15333333,22.12
86580,1/26/2007,13827895,51110,20.98,21.33333333
86580,1/29/2007,21506506,83021,20.12,20.88333333
86580,1/30/2007,10988671,50387,20.50666667,20.25333333
86580,1/31/2007,7799879,33482,20.43333333,20.40666667
86580,2/1/2007,10861478,45483,20.69333333,20.24
86580,2/2/2007,9785367,41480,21.23333333,20.80666667
86580,2/5/2007,9691089,41284,21.58,21.33333333
86580,2/6/2007,12949625,58244,22.34666667,22.06666667
86580,2/7/2007,12686330,51157,23.22,22.52666667
86580,2/8/2007,12189424,47085,22.92,22.86666667
86580,2/9/2007,15643142,55123,21.76666667,23.03333333
86580,2/12/2007,13157535,49905,22.24666667,21.92666667
86580,2/13/2007,14693546,51226,22.66666667,22.60666667
86580,2/14/2007,18038532,71288,22.36666667,22.86666667
86580,2/15/2007,8146502,35865,22.5,22.35333333
86580,2/16/2007,15255768,56005,21.81333333,22.40666667
86580,2/20/2007,10431841,44725,22.00666667,21.84666667
86580,2/21/2007,11169069,51601,21.68,21.82666667
86580,2/22/2007,10933875,45465,21.82,22.02
86580,2/23/2007,6729027,31337,21.76666667,22.02666667
86580,2/26/2007,8244961,32681,21.43333333,21.82666667
86580,2/27/2007,12012444,60782,20.78666667,21.2
86580,2/28/2007,13010000,51449,20.66666667,20.72666667
86580,3/1/2007,13941624,69173,20.41333333,20.22
86580,3/2/2007,11384015,52867,19.84666667,20.23333333
86580,3/5/2007,11069769,46141,19.17466667,19.5
86580,3/6/2007,13476252,51597,20.30666667,19.59333333
86580,3/7/2007,15029968,50881,19.73333333,20.20666667
86580,3/8/2007,12856834,44771,20.54666667,20.14666667
86580,3/9/2007,9257529,36942,20.34,20.83333333
86580,3/12/2007,7137633,30882,20.22,20.10666667
86580,3/13/2007,10284494,45813,19.36666667,20.01333333
86580,3/14/2007,16211341,68799,19.27333333,19.42
86580,3/15/2007,10936274,44021,19.08,19.22666667
86580,3/16/2007,8801385,31115,18.9,19.09333333
86580,3/19/2007,7698531,33975,18.99333333,19
86580,3/20/2007,10945908,40627,18.9,18.93333333
86580,3/21/2007,23186119,74749,19.98,19.66666667
86580,3/22/2007,13615020,54132,20.42,20
86580,3/23/2007,8749940,38066,20.19333333,20.26666667
86580,3/26/2007,7455741,36040,20.23333333,20.20666667
86580,3/27/2007,7817794,31442,19.85333333,20.18666667
86580,3/28/2007,7754060,35842,19.47333333,19.68666667
86580,3/29/2007,11985848,49367,19.13333333,19.76666667
86580,3/30/2007,9691566,43068,19.18666667,19.39333333
86580,4/2/2007,6683326,30696,19.16666667,19.14
86580,4/3/2007,7905217,33399,19.09333333,19.16666667
86580,4/4/2007,6041560,25757,19.05333333,19.06666667
86580,4/5/2007,22231883,74776,20.6,19.13333333
86580,4/9/2007,10688219,37191,20.22666667,20.6
86580,4/10/2007,13248157,40211,20.02,20.2
86580,4/11/2007,13635981,46726,19.66,20.06
86580,4/12/2007,12395422,38839,20.22,19.55333333
86580,4/13/2007,10650705,39379,20.38666667,20.15333333
86580,4/16/2007,11208941,37144,20.28,20.33333333
86580,4/17/2007,17655603,55404,20.47333333,20.79333333
86580,4/18/2007,11398205,39820,20.72666667,20.44
86580,4/19/2007,9499579,37944,21.01333333,20.56
86580,4/20/2007,9915628,37440,21.26,21.32
