PERMNO,date,VOL,PRC,OPENPRC
86165,1/3/2007,1317136,1574.968501,1608.567829
86165,1/4/2007,2134999,1513.01974,1574.968501
86165,1/5/2007,1123941,1493.070139,1538.219236
86165,1/8/2007,1440659,1527.719446,1509.869803
86165,1/9/2007,1002601,1522.469551,1515.119698
86165,1/10/2007,1460026,1541.369173,1535.069299
86165,1/11/2007,823159,1556.068879,1560.268795
86165,1/12/2007,1126890,1608.567829,1600.167997
86165,1/16/2007,1825866,1590.718186,1627.467451
86165,1/17/2007,1268717,1628.51743,1592.818144
86165,1/18/2007,1073308,1589.668207,1639.01722
86165,1/19/2007,1392473,1641.117178,1580.218396
86165,1/22/2007,3675730,1766.064679,1673.666527
86165,1/23/2007,9294621,1874.212516,1846.913062
86165,1/24/2007,5419665,1735.615288,1908.861823
86165,1/25/2007,2491877,1669.466611,1766.064679
86165,1/26/2007,1623688,1706.215876,1670.51659
86165,1/29/2007,1419088,1691.51617,1732.465351
86165,1/30/2007,1249210,1726.165477,1704.115918
86165,1/31/2007,899919,1723.01554,1706.373373
86165,2/1/2007,1404882,1770.264595,1772.364553
86165,2/2/2007,1248110,1791.264175,1800.713986
86165,2/5/2007,2009865,1801.763965,1803.863923
86165,2/6/2007,959267,1777.614448,1820.663587
86165,2/7/2007,915835,1779.714406,1797.564049
86165,2/8/2007,600964,1756.614868,1777.614448
86165,2/9/2007,612882,1729.315414,1755.564889
86165,2/12/2007,926030,1684.166317,1726.165477
86165,2/13/2007,603456,1704.115918,1695.716086
86165,2/14/2007,894522,1664.216716,1716.715666
86165,2/15/2007,716635,1678.916422,1664.216716
86165,2/16/2007,728776,1724.065519,1691.51617
86165,2/20/2007,952695,1748.215036,1770.264595
86165,2/21/2007,545552,1766.064679,1762.914742
86165,2/22/2007,1191801,1823.813524,1774.464511
86165,2/23/2007,891227,1810.163797,1831.163377
86165,2/26/2007,978241,1859.51281,1832.213356
86165,2/27/2007,1304655,1732.465351,1762.914742
86165,2/28/2007,1236184,1740.865183,1708.315834
86165,3/1/2007,895058,1677.866443,1698.446031
86165,3/2/2007,1081644,1623.267535,1665.266695
86165,3/5/2007,1235415,1549.769005,1563.418732
86165,3/6/2007,739110,1600.167997,1585.468291
86165,3/7/2007,797465,1604.367913,1625.367493
86165,3/8/2007,550066,1630.617388,1637.967241
86165,3/9/2007,572521,1629.567409,1651.616968
86165,3/12/2007,328845,1645.317094,1637.967241
86165,3/13/2007,552463,1606.467871,1642.167157
86165,3/14/2007,706761,1599.118018,1580.218396
86165,3/15/2007,478546,1621.167577,1576.01848
86165,3/16/2007,557437,1591.768165,1622.217556
86165,3/19/2007,622790,1597.01806,1586.51827
86165,3/20/2007,720315,1625.367493,1593.868123
86165,3/21/2007,1017627,1654.766905,1625.367493
86165,3/22/2007,729997,1698.866023,1658.966821
86165,3/23/2007,471711,1711.465771,1694.666107
86165,3/26/2007,575484,1707.265855,1706.215876
