PERMNO,date,PRC_old,VOL,CFACPR,OPENPRC,PRC
91677,20070103,10.99,409225,0.1,11.59,109.9
91677,20070104,11,602313,0.1,11.14,110
91677,20070105,11.13,291939,0.1,11,111.3
91677,20070108,10.66,95688,0.1,11.5,106.6
91677,20070109,10.29,104343,0.1,10.77,102.9
91677,20070110,10.45,132783,0.1,10.3,104.5
91677,20070111,10.54,69103,0.1,10.54,105.4
91677,20070112,10.6,61049,0.1,10.62,106
91677,20070116,10.7,247984,0.1,11,107
91677,20070117,10.97,156745,0.1,10.78,109.7
91677,20070118,11.8,915872,0.1,11,118
91677,20070119,12.06,610443,0.1,11.8,120.6
91677,20070122,12.94,1104193,0.1,12.42,129.4
91677,20070123,13.31,603690,0.1,12.6,133.1
91677,20070124,12.71,287743,0.1,13.34,127.1
91677,20070125,12.92,234162,0.1,13.18,129.2
91677,20070126,14,561105,0.1,12.9,140
91677,20070129,13.51,957697,0.1,14.01,135.1
91677,20070130,15.04,1629313,0.1,14.5,150.4
91677,20070131,15.03,460027,0.1,14.8,150.3
91677,20070201,14.99,577044,0.1,15.08,149.9
91677,20070202,14.8,196407,0.1,14.99,148
91677,20070205,15.6,706751,0.1,14.9,156
91677,20070206,15.06,601413,0.1,15.75,150.6
91677,20070207,14.93,233430,0.1,15.22,149.3
91677,20070208,14.65,296606,0.1,15,146.5
91677,20070209,13.6799,438654,0.1,14.46,136.799
91677,20070212,13.94,226980,0.1,14.19,139.4
91677,20070213,13.87,72634,0.1,13.8,138.7
91677,20070214,14.88,991247,0.1,14.24,148.8
91677,20070215,14.99,1386485,0.1,15.24,149.9
91677,20070216,14.58,270464,0.1,15.47,145.8
91677,20070220,15.71,291697,0.1,15.31,157.1
91677,20070221,15.4901,1028031,0.1,16.01,154.901
91677,20070222,14.8,464974,0.1,15.63,148
91677,20070223,15.54,2017046,0.1,15.15,155.4
91677,20070226,16.4499,2670400,0.1,16.5,164.499
91677,20070227,14.1,1761889,0.1,15.3,141
91677,20070228,14.29,1005489,0.1,14.5,142.9
91677,20070301,13.6,701565,0.1,13.289,136
91677,20070302,13.405,455507,0.1,13.73,134.05
91677,20070305,12.33,743196,0.1,12.8,123.3
91677,20070306,13.57,615868,0.1,12.77,135.7
91677,20070307,12.97,1121490,0.1,12.55,129.7
91677,20070308,12.63,1018221,0.1,13.42,126.3
91677,20070309,12.8,417185,0.1,12.72,128
91677,20070312,12.7,1141723,0.1,12.84,127
91677,20070313,12.5,769827,0.1,12.51,125
91677,20070314,12.55,480285,0.1,12.3,125.5
91677,20070315,12.57,519593,0.1,12.52,125.7
91677,20070316,12.31,740305,0.1,12.6,123.1
91677,20070319,12.195,863391,0.1,12.3,121.95
91677,20070320,12.12,140384,0.1,12.18,121.2
91677,20070321,12.12,430525,0.1,12.28,121.2
91677,20070322,13.07,754389,0.1,12.2,130.7
91677,20070323,13.26,820469,0.1,13.25,132.6
91677,20070326,12.7501,451839,0.1,13.4,127.501
91677,20070327,13,501784,0.1,13,130
91677,20070328,12.56,305493,0.1,13,125.6
91677,20070329,12.66,1131112,0.1,12.71,126.6
91677,20070330,12.57,293025,0.1,12.98,125.7
91677,20070402,12.36,372181,0.1,12.58,123.6
91677,20070403,12.4,341266,0.1,12.48,124
91677,20070404,12.5,435562,0.1,12.46,125
91677,20070405,12.61,267973,0.1,12.6,126.1
91677,20070409,13.54,571303,0.1,12.73,135.4
91677,20070410,13.43,731933,0.1,13.49,134.3
91677,20070411,13.01,530663,0.1,13.7,130.1
91677,20070412,12.79,615963,0.1,12.92,127.9
91677,20070413,13.04,809183,0.1,12.89,130.4
91677,20070416,17.6799,5172978,0.1,13.36,176.799
91677,20070417,15,4355276,0.1,16.8,150
91677,20070418,16.02,3450845,0.1,15.33,160.2
91677,20070419,15.34,1829386,0.1,15.66,153.4
91677,20070420,15.87,966553,0.1,16,158.7
91677,20070423,15.97,2644869,0.1,15.96,159.7
91677,20070424,15.95,629665,0.1,16.3,159.5
91677,20070425,16.73,1860631,0.1,16.25,167.3
91677,20070426,16.1399,820748,0.1,16.92,161.399
91677,20070427,15.55,504609,0.1,15.91,155.5
91677,20070430,14.27,1068837,0.1,15.55,142.7
91677,20070501,13.77,893065,0.1,14.32,137.7
91677,20070502,14.39,526381,0.1,14.08,143.9
91677,20070503,14.4499,226981,0.1,14.64,144.499
91677,20070504,14.54,754703,0.1,14.86,145.4
91677,20070507,14.46,339156,0.1,14.89,144.6
91677,20070508,14.35,219404,0.1,14.3,143.5
91677,20070509,14.56,270656,0.1,14.07,145.6
91677,20070510,14.37,334463,0.1,14.51,143.7
91677,20070511,14.25,422506,0.1,14.622,142.5
91677,20070514,14.1,421429,0.1,14.5,141
91677,20070515,12.95,767064,0.1,13.82,129.5
91677,20070516,12.54,1207055,0.1,12.97,125.4
91677,20070517,12.11,587303,0.1,12.81,121.1
91677,20070518,11.74,1007306,0.1,11.9,117.4
91677,20070521,11.69,656786,0.1,11.81,116.9
91677,20070522,12.75,1376096,0.1,11.74,127.5
91677,20070523,12.94,1582556,0.1,12.83,129.4
91677,20070524,12.09,766749,0.1,12.87,120.9
91677,20070525,12.08,419213,0.1,12.25,120.8
91677,20070529,12.42,873516,0.1,12.55,124.2
91677,20070530,9.6,3809470,0.1,9.8,96
91677,20070531,9.8499,1249530,0.1,10.17,98.499
91677,20070601,9.38,907716,0.1,9.98,93.8
91677,20070604,9.62,561030,0.1,9.36,96.2
91677,20070605,9.41,750432,0.1,9.85,94.1
91677,20070606,9.46,313064,0.1,9.45,94.6
91677,20070607,9.17,418513,0.1,9.57,91.7
91677,20070608,8.8681,568845,0.1,9.24,88.681
91677,20070611,8.58,547351,0.1,8.91,85.8
91677,20070612,8.28,286213,0.1,8.46,82.8
91677,20070613,8.53,320195,0.1,8.35,85.3
91677,20070614,9.13,606480,0.1,8.6,91.3
91677,20070615,9.38,472392,0.1,9.21,93.8
91677,20070618,9.32,191653,0.1,9.49,93.2
91677,20070619,9.41,337468,0.1,9.31,94.1
91677,20070620,9.57,569683,0.1,9.45,95.7
91677,20070621,8.98,356331,0.1,9.75,89.8
91677,20070622,9.2501,615356,0.1,8.96,92.501
91677,20070625,9.69,911297,0.1,9.4,96.9
91677,20070626,11.09,1709771,0.1,9.99,110.9
91677,20070627,10.57,1113313,0.1,10.72,105.7
91677,20070628,10.53,848579,0.1,10.5,105.3
91677,20070629,10.19,408370,0.1,10.52,101.9
91677,20070702,10.92,765198,0.1,10.59,109.2
91677,20070703,11.35,630890,0.1,11.17,113.5
91677,20070705,11.31,392947,0.1,11.26,113.1
91677,20070706,11.25,310531,0.1,11.35,112.5
91677,20070709,12.5299,1605678,0.1,11.5,125.299
91677,20070710,12.59,736975,0.1,12.57,125.9
91677,20070711,12.89,854449,0.1,12.56,128.9
91677,20070712,13.1401,804119,0.1,12.99,131.401
91677,20070713,13.48,727215,0.1,13.28,134.8
91677,20070716,13.57,714757,0.1,13.5,135.7
91677,20070717,12.9699,628450,0.1,13.59,129.699
91677,20070718,13.01,429838,0.1,12.85,130.1
91677,20070719,12.9,280795,0.1,13.15,129
91677,20070720,12.98,271766,0.1,12.71,129.8
91677,20070723,12.96,238012,0.1,13.1,129.6
91677,20070724,12.63,355498,0.1,12.85,126.3
91677,20070725,12.31,268415,0.1,12.56,123.1
91677,20070726,11.6,627281,0.1,12.25,116
91677,20070727,11.3301,372817,0.1,11.33,113.301
91677,20070730,11.43,545643,0.1,11.19,114.3
91677,20070731,11.05,528973,0.1,11.85,110.5
91677,20070801,10.96,305832,0.1,10.9,109.6
91677,20070802,10.91,247218,0.1,10.96,109.1
91677,20070803,9.98,414945,0.1,10.96,99.8
91677,20070806,9.1,762678,0.1,9.99,91
91677,20070807,10,558539,0.1,9.19,100
91677,20070808,10.88,697057,0.1,10.3,108.8
91677,20070809,10.8,322121,0.1,10.55,108
91677,20070810,10.6,376846,0.1,10.16,106
91677,20070813,11.04,564677,0.1,10.74,110.4
91677,20070814,10.44,241762,0.1,11.06,104.4
91677,20070815,10.11,283449,0.1,10.36,101.1
91677,20070816,9.7,975215,0.1,10,97
91677,20070817,10.21,407667,0.1,10,102.1
91677,20070820,10.98,861406,0.1,11.62,109.8
91677,20070821,11.2,384665,0.1,11,112
91677,20070822,10.63,600959,0.1,11.59,106.3
91677,20070823,10.7,474171,0.1,10.7,107
91677,20070824,10.95,280423,0.1,10.7,109.5
91677,20070827,10.59,269737,0.1,10.7,105.9
91677,20070828,10.17,526749,0.1,10.5,101.7
91677,20070829,10.73,394503,0.1,10.1,107.3
91677,20070830,10.5,315502,0.1,10.55,105
91677,20070831,10.41,165108,0.1,10.7,104.1
91677,20070904,10.68,233065,0.1,10.59,106.8
91677,20070905,10.59,151789,0.1,10.66,105.9
91677,20070906,10.83,423235,0.1,10.5,108.3
91677,20070907,10.92,311350,0.1,10.58,109.2
91677,20070910,11.36,491724,0.1,11,113.6
91677,20070911,11.67,619926,0.1,11.37,116.7
91677,20070912,11.02,800183,0.1,12,110.2
91677,20070913,10.83,399084,0.1,11.42,108.3
91677,20070914,10.66,217849,0.1,10.62,106.6
91677,20070917,10.32,236985,0.1,10.44,103.2
91677,20070918,10.69,201370,0.1,10.51,106.9
91677,20070919,10.37,411778,0.1,10.88,103.7
91677,20070920,10.7,662425,0.1,10.87,107
91677,20070921,11.13,621663,0.1,11.06,111.3
91677,20070924,12.21,1769452,0.1,11.42,122.1
91677,20070925,14.64,2558522,0.1,12.24,146.4
91677,20070926,13.95,2682032,0.1,15.7,139.5
91677,20070927,13.24,1319086,0.1,14.9,132.4
91677,20070928,13.13,733169,0.1,13.07,131.3
91677,20071001,13.28,982840,0.1,13.15,132.8
91677,20071002,13.78,714912,0.1,13.5,137.8
91677,20071003,13.1699,1621382,0.1,13.9,131.699
91677,20071004,12.8,657100,0.1,13.25,128
91677,20071005,13.12,601374,0.1,13.11,131.2
91677,20071008,12.74,483211,0.1,12.85,127.4
91677,20071009,13.34,715218,0.1,13.11,133.4
91677,20071010,13.98,753301,0.1,13.66,139.8
91677,20071011,13,1146537,0.1,14.5,130
91677,20071012,13.28,438605,0.1,13.2,132.8
91677,20071015,13.05,232987,0.1,13.16,130.5
91677,20071016,13.98,1068887,0.1,13.05,139.8
91677,20071017,13.49,816988,0.1,14.35,134.9
91677,20071018,13.78,307233,0.1,13.24,137.8
91677,20071019,13,440737,0.1,13.55,130
91677,20071022,13.13,343281,0.1,12.8,131.3
91677,20071023,13.53,356945,0.1,13.49,135.3
91677,20071024,12.88,372044,0.1,13.5,128.8
91677,20071025,12.85,611328,0.1,13.35,128.5
91677,20071026,12.88,346297,0.1,13.01,128.8
91677,20071029,15,1697128,0.1,13.03,150
91677,20071030,13.68,1503461,0.1,14.9,136.8
91677,20071031,14.02,723855,0.1,13.88,140.2
91677,20071101,13.65,381183,0.1,13.85,136.5
91677,20071102,13.41,352752,0.1,13.5,134.1
91677,20071105,13.01,334045,0.1,13.12,130.1
91677,20071106,13.83,978646,0.1,13.25,138.3
91677,20071107,13.1999,389570,0.1,13.74,131.999
91677,20071108,13.4801,1636422,0.1,14,134.801
91677,20071109,12.85,498370,0.1,13.35,128.5
91677,20071112,10.6,911777,0.1,12.25,106
91677,20071113,11.09,495720,0.1,11.25,110.9
91677,20071114,12.19,774507,0.1,11.5,121.9
91677,20071115,12.35,623620,0.1,12.31,123.5
91677,20071116,12.8,448149,0.1,12.43,128
91677,20071119,12.5,322461,0.1,12.79,125
91677,20071120,11.76,331121,0.1,12.26,117.6
91677,20071121,10.26,822519,0.1,11,102.6
91677,20071123,10.93,229238,0.1,10.74,109.3
91677,20071126,11.19,429891,0.1,11.48,111.9
91677,20071127,11.05,296538,0.1,11.13,110.5
91677,20071128,11.61,680536,0.1,11,116.1
91677,20071129,15.19,5929178,0.1,14.2,151.9
91677,20071130,16.35,3980440,0.1,16.62,163.5
91677,20071203,20.6,8249334,0.1,16.5,206
91677,20071204,26.25,20345362,0.1,21.57,262.5
91677,20071205,23.95,22668281,0.1,30.09,239.5
91677,20071206,22.95,9985193,0.1,24.04,229.5
91677,20071207,25.9,8131615,0.1,23.62,259
91677,20071210,27.2,7714728,0.1,27.41,272
91677,20071211,24.9,4668255,0.1,28.27,249
91677,20071212,26.3,2731021,0.1,27.19,263
91677,20071213,26.55,2061695,0.1,25.75,265.5
91677,20071214,26.37,3822820,0.1,26.63,263.7
91677,20071217,24.01,2264745,0.1,26.8,240.1
91677,20071218,24.57,2465619,0.1,24.39,245.7
91677,20071219,26.446,6093264,0.1,25.21,264.46
91677,20071220,25.43,1699188,0.1,26.5,254.3
91677,20071221,28.76,6082857,0.1,25.6,287.6
91677,20071224,33.15,6652291,0.1,29.8,331.5
91677,20071226,35.96,10644533,0.1,35.87,359.6
91677,20071227,33.73,4971258,0.1,34.91,337.3
91677,20071228,34.02,4011567,0.1,35.16,340.2
91677,20071231,32.65,2300409,0.1,33.62,326.5
91677,20080102,35.99,3790133,0.1,34.4,359.9
91677,20080103,36.95,8673114,0.1,39.72,369.5
91677,20080104,37.64,4310525,0.1,35.75,376.4
91677,20080107,31.78,6758949,0.1,38.85,317.8
91677,20080108,30.08,6179432,0.1,30.86,300.8
91677,20080109,28,5435729,0.1,30.2,280
91677,20080110,27.62,2771610,0.1,26.63,276.2
91677,20080111,25.2,4234689,0.1,28.5,252
91677,20080114,25,4366166,0.1,26.15,250
91677,20080115,21.43,4604005,0.1,24.03,214.3
91677,20080116,19.96,5917052,0.1,20.41,199.6
91677,20080117,19.96,4459945,0.1,20.71,199.6
91677,20080118,19,4116186,0.1,20.9,190
91677,20080122,19,4849672,0.1,15.2,190
91677,20080123,16.81,4516169,0.1,17.55,168.1
91677,20080124,16.15,11794847,0.1,15.2,161.5
91677,20080125,16.3,5929810,0.1,17.38,163
91677,20080128,16.11,2471276,0.1,16.1,161.1
91677,20080129,17.73,5144047,0.1,16.79,177.3
91677,20080130,16.56,3692104,0.1,17.78,165.6
91677,20080131,16.19,2424836,0.1,16.03,161.9
91677,20080201,16.71,2399758,0.1,16.44,167.1
91677,20080204,18.09,6442962,0.1,17.1,180.9
91677,20080205,15.9,4007314,0.1,17.75,159
91677,20080206,15.69,2887846,0.1,16.05,156.9
91677,20080207,15.7,2679905,0.1,15.28,157
91677,20080208,15.95,1784866,0.1,15.7,159.5
91677,20080211,17.07,3640228,0.1,16.4,170.7
91677,20080212,16.5,4334046,0.1,17.35,165
91677,20080213,18.29,7580210,0.1,18,182.9
91677,20080214,17.92,4318013,0.1,18.57,179.2
91677,20080215,17.02,2863182,0.1,17.32,170.2
91677,20080219,16.27,2543389,0.1,17.7,162.7
91677,20080220,15.65,4921074,0.1,15.5,156.5
91677,20080221,14.2,5597948,0.1,15.9,142
91677,20080222,13.85,4476465,0.1,14.29,138.5
91677,20080225,14.1,3539502,0.1,13.75,141
91677,20080226,14.03,2562206,0.1,13.98,140.3
91677,20080227,12.18,5786473,0.1,12.9,121.8
91677,20080228,12.14,3314744,0.1,12.32,121.4
91677,20080229,11.6399,2789333,0.1,11.93,116.399
91677,20080303,11.29,3188808,0.1,11.6,112.9
91677,20080304,11.36,3255436,0.1,11.66,113.6
91677,20080305,11.85,4925293,0.1,11.8,118.5
91677,20080306,10.75,3440909,0.1,11.86,107.5
91677,20080307,10.12,3408063,0.1,10.47,101.2
91677,20080310,8.97,2692208,0.1,10.39,89.7
91677,20080311,9.6,2973098,0.1,9.47,96
91677,20080312,9.67,3338055,0.1,10.09,96.7
91677,20080313,10.49,4095283,0.1,9.4,104.9
91677,20080314,10.2,3375179,0.1,10.77,102
91677,20080317,9.31,2017136,0.1,9.37,93.1
91677,20080318,10,1528100,0.1,9.75,100
91677,20080319,9.3299,1628716,0.1,10.15,93.299
91677,20080320,9.6401,2365222,0.1,9.28,96.401
91677,20080324,10.47,2888105,0.1,9.85,104.7
91677,20080325,12.65,7896423,0.1,10.9,126.5
91677,20080326,11.46,7778026,0.1,12.84,114.6
91677,20080327,13.36,19683296,0.1,12.96,133.6
91677,20080328,12.59,7887660,0.1,13.95,125.9
91677,20080331,12.06,3260171,0.1,12.4,120.6
91677,20080401,12.3101,3835694,0.1,12.4,123.101
91677,20080402,14.55,11383581,0.1,12.76,145.5
91677,20080403,14.93,12382454,0.1,14.57,149.3
91677,20080404,15.47,12080581,0.1,15.31,154.7
91677,20080407,15.29,10261465,0.1,16.41,152.9
91677,20080408,15.7,5134145,0.1,14.8,157
91677,20080409,15.39,4562165,0.1,16.11,153.9
91677,20080410,14.7,4039571,0.1,15.21,147
91677,20080411,14.38,4747858,0.1,14.3,143.8
91677,20080414,14.39,2931334,0.1,14.31,143.9
91677,20080415,14.6,4150226,0.1,15.02,146
91677,20080416,15.29,5033294,0.1,14.97,152.9
91677,20080417,14.62,6306326,0.1,14.8,146.2
91677,20080418,14.71,3346085,0.1,15,147.1
91677,20080421,14.8,3085222,0.1,14.65,148
91677,20080422,14.88,3922182,0.1,15,148.8
91677,20080423,14.44,2761834,0.1,15,144.4
91677,20080424,13.84,2969917,0.1,14.71,138.4
91677,20080425,13.9,1523480,0.1,13.8,139
91677,20080428,13.85,1239621,0.1,14,138.5
91677,20080429,13.18,1953312,0.1,13.71,131.8
91677,20080430,13.43,2410686,0.1,13.79,134.3
91677,20080501,13.07,2042433,0.1,13.5,130.7
91677,20080502,13.1482,1230340,0.1,13.45,131.482
91677,20080505,13.28,1367268,0.1,13.3,132.8
91677,20080506,14.69,4575836,0.1,13.35,146.9
91677,20080507,14.32,3708764,0.1,15.02,143.2
91677,20080508,14.15,1645887,0.1,14.6,141.5
91677,20080509,14.85,2473917,0.1,14.04,148.5
91677,20080512,14.94,2836503,0.1,14.92,149.4
91677,20080513,16.19,9089970,0.1,15.65,161.9
91677,20080514,17.41,10398269,0.1,16.55,174.1
91677,20080515,18.47,9196999,0.1,18.61,184.7
91677,20080516,22.84,22862056,0.1,19,228.4
91677,20080519,25.18,37121146,0.1,25.47,251.8
91677,20080520,25.24,17390060,0.1,25.5,252.4
91677,20080521,26.5,30604418,0.1,28.5,265
91677,20080522,20.65,22920198,0.1,25.21,206.5
91677,20080523,22.58,13252139,0.1,20.07,225.8
91677,20080527,22.51,9132189,0.1,22.99,225.1
91677,20080528,21.882,7793640,0.1,22.13,218.82
91677,20080529,20.17,5229570,0.1,21.5,201.7
91677,20080530,22.8,8835138,0.1,21.39,228
91677,20080602,22.09,4613086,0.1,22.36,220.9
91677,20080603,21.76,3614648,0.1,22.25,217.6
91677,20080604,21.25,2947185,0.1,21.32,212.5
91677,20080605,22.16,4443948,0.1,21.85,221.6
91677,20080606,21.64,4869210,0.1,21.99,216.4
91677,20080609,19.59,5733968,0.1,22.01,195.9
91677,20080610,18.14,5120178,0.1,18.7,181.4
91677,20080611,18.63,4821058,0.1,18.69,186.3
91677,20080612,18.21,3643171,0.1,19,182.1
91677,20080613,18.74,2786622,0.1,18.45,187.4
91677,20080616,21.59,6064704,0.1,19,215.9
91677,20080617,21.63,8223108,0.1,22.3,216.3
91677,20080618,22.18,4447172,0.1,21.5,221.8
91677,20080619,21.68,4143922,0.1,22.52,216.8
91677,20080620,20.24,12001541,0.1,21.41,202.4
91677,20080623,20.75,3242295,0.1,20.95,207.5
91677,20080624,20.41,2757601,0.1,20.22,204.1
91677,20080625,20.25,2458304,0.1,20.7,202.5
91677,20080626,19.22,5029056,0.1,19.86,192.2
91677,20080627,18.04,3742527,0.1,19.3,180.4
91677,20080630,17.5,2753939,0.1,18.47,175
91677,20080701,16.14,4258542,0.1,16.57,161.4
91677,20080702,14.31,4455774,0.1,16.16,143.1
91677,20080703,13.73,3662629,0.1,14.08,137.3
91677,20080707,14.79,5636664,0.1,14.15,147.9
91677,20080708,14.49,3132668,0.1,14.63,144.9
91677,20080709,13.92,3273367,0.1,15.2,139.2
91677,20080710,14.06,2427105,0.1,14.07,140.6
91677,20080711,14.16,2162233,0.1,13.61,141.6
91677,20080714,14.87,3254224,0.1,15.28,148.7
91677,20080715,14.65,2910075,0.1,14.56,146.5
91677,20080716,15.69,3218068,0.1,15.2,156.9
91677,20080717,14.84,3721640,0.1,16.24,148.4
91677,20080718,14.69,2420469,0.1,14.9,146.9
91677,20080721,14.73,2712927,0.1,15.09,147.3
91677,20080722,14.14,2774468,0.1,14.9,141.4
91677,20080723,13.9,2218594,0.1,14.19,139
91677,20080724,12.78,2709841,0.1,13.89,127.8
91677,20080725,13,2662408,0.1,12.81,130
91677,20080728,12.51,1811088,0.1,12.92,125.1
91677,20080729,13.65,5273037,0.1,12.76,136.5
91677,20080730,13.47,3513189,0.1,13.8,134.7
91677,20080731,13.8,5045703,0.1,14.14,138
91677,20080801,13.45,1912551,0.1,13.81,134.5
91677,20080804,13.1,1816830,0.1,13.23,131
91677,20080805,12.9,2222438,0.1,13.16,129
91677,20080806,12.5,2644179,0.1,12.67,125
91677,20080807,12.64,2063343,0.1,12.74,126.4
91677,20080808,12.19,1683844,0.1,12.55,121.9
91677,20080811,11.7,2783064,0.1,12.2,117
91677,20080812,12.5,3949359,0.1,12.38,125
91677,20080813,13.49,3099828,0.1,12.3,134.9
91677,20080814,14.45,4474123,0.1,13.77,144.5
91677,20080815,15.17,4348835,0.1,15.17,151.7
91677,20080818,16.2,7228376,0.1,16.11,162
91677,20080819,16.42,4205367,0.1,15.87,164.2
91677,20080820,19.32,10047312,0.1,17.08,193.2
91677,20080821,18.6,13108341,0.1,19.64,186
91677,20080822,19.75,7604975,0.1,19.79,197.5
91677,20080825,19.99,9210638,0.1,20.34,199.9
91677,20080826,18.94,8803565,0.1,19.51,189.4
91677,20080827,16.33,16137280,0.1,17.33,163.3
91677,20080828,16.02,7492380,0.1,16.34,160.2
91677,20080829,15.81,4732713,0.1,15.81,158.1
91677,20080902,14.11,6283849,0.1,15.46,141.1
91677,20080903,14.1,5454429,0.1,13.95,141
91677,20080904,14.8,4543729,0.1,14.33,148
91677,20080905,14.38,3874131,0.1,14.72,143.8
91677,20080908,13.42,3343082,0.1,14.93,134.2
91677,20080909,11.6,4219777,0.1,13.25,116
91677,20080910,12.27,3287034,0.1,11.88,122.7
91677,20080911,12.42,3637340,0.1,11.6,124.2
91677,20080912,13.3,2427721,0.1,12.42,133
91677,20080915,12.75,2740638,0.1,12.5,127.5
91677,20080916,12.99,2103662,0.1,11.91,129.9
91677,20080917,12.97,3052570,0.1,13.16,129.7
91677,20080918,14,2937407,0.1,13.04,140
91677,20080919,14.91,3439514,0.1,15,149.1
91677,20080922,14.03,1764966,0.1,14.7,140.3
91677,20080923,12.64,3481072,0.1,13.98,126.4
91677,20080924,12.98,2378197,0.1,13.2,129.8
91677,20080925,13.05,1627724,0.1,13,130.5
91677,20080926,12.1,3057309,0.1,12.44,121
91677,20080929,10.2,3955928,0.1,11.64,102
91677,20080930,10.53,2394218,0.1,10.5,105.3
91677,20081001,11.57,2352298,0.1,10.81,115.7
91677,20081002,10.42,2016905,0.1,11.44,104.2
91677,20081003,10.36,2799620,0.1,10.52,103.6
91677,20081006,9.03,3479334,0.1,9.41,90.3
91677,20081007,7.5,3269217,0.1,8.511,75
91677,20081008,7.22,3195117,0.1,6.66,72.2
91677,20081009,6.14,3696094,0.1,7.5,61.4
91677,20081010,6.13,3640468,0.1,5.87,61.3
91677,20081013,7.5,2273747,0.1,7.05,75
91677,20081014,7.29,2348179,0.1,8.2,72.9
91677,20081015,6.41,1262746,0.1,7,64.1
91677,20081016,6.72,1444582,0.1,6.88,67.2
91677,20081017,7.07,1688284,0.1,6.51,70.7
91677,20081020,7.53,1244540,0.1,7.23,75.3
91677,20081021,6.8,1593530,0.1,7.2,68
91677,20081022,6.11,1735805,0.1,6.481,61.1
91677,20081023,5.35,2133967,0.1,6.19,53.5
91677,20081024,4.92,1799357,0.1,4.54,49.2
91677,20081027,4.55,1393850,0.1,4.79,45.5
91677,20081028,4.68,1562332,0.1,5,46.8
91677,20081029,5.05,1953096,0.1,4.85,50.5
91677,20081030,5.81,2616743,0.1,5.97,58.1
91677,20081031,6.1,2124436,0.1,5.72,61
91677,20081103,8.24,4682339,0.1,6.5,82.4
91677,20081104,8.95,5886605,0.1,9.41,89.5
91677,20081105,7.36,2769123,0.1,8.31,73.6
91677,20081106,7.19,2558710,0.1,7.01,71.9
91677,20081107,7.17,2543120,0.1,7.1,71.7
91677,20081110,7.1,1929186,0.1,7.8,71
91677,20081111,6.29,1625944,0.1,6.68,62.9
91677,20081112,5.23,1919647,0.1,6.15,52.3
91677,20081113,5.69,1850627,0.1,5.2,56.9
91677,20081114,5.29,1129042,0.1,5.5,52.9
91677,20081117,5.01,1080297,0.1,5.17,50.1
91677,20081118,4.77,1126374,0.1,4.99,47.7
91677,20081119,4.07,1354534,0.1,4.69,40.7
91677,20081120,2.68,2416705,0.1,3.69,26.8
91677,20081121,3.25,1768557,0.1,3.15,32.5
91677,20081124,3.95,2165757,0.1,3.83,39.5
91677,20081125,4.13,1683197,0.1,4.1,41.3
91677,20081126,5.1,2418836,0.1,3.95,51
91677,20081128,5.69,1715872,0.1,5.26,56.9
91677,20081201,4.7,2065789,0.1,5.3,47
91677,20081202,4.32,2589350,0.1,4,43.2
91677,20081203,4.92,1660502,0.1,4.1,49.2
91677,20081204,4.56,954551,0.1,4.82,45.6
91677,20081205,4.69,759009,0.1,4.4,46.9
91677,20081208,4.92,1170289,0.1,5,49.2
91677,20081209,4.69,773679,0.1,4.88,46.9
91677,20081210,4.9,982689,0.1,4.77,49
91677,20081211,4.7,1643407,0.1,4.92,47
91677,20081212,4.71,618959,0.1,4.41,47.1
91677,20081215,4.74,505401,0.1,4.9,47.4
91677,20081216,4.79,834557,0.1,4.84,47.9
91677,20081217,5.14,1968165,0.1,4.79,51.4
91677,20081218,4.78,1071680,0.1,5.27,47.8
91677,20081219,4.99,795462,0.1,4.85,49.9
91677,20081222,4.8,615283,0.1,4.95,48
91677,20081223,4.79,438277,0.1,4.81,47.9
91677,20081224,4.66,209662,0.1,4.8,46.6
91677,20081226,4.79,315307,0.1,4.62,47.9
91677,20081229,4.8,674608,0.1,4.86,48
91677,20081230,5.25,1192542,0.1,4.9,52.5
91677,20081231,5.01,1712372,0.1,5.35,50.1
91677,20090102,5.4,1195550,0.1,5.08,54
91677,20090105,6.12,1913369,0.1,5.42,61.2
91677,20090106,5.85,2746013,0.1,6.01,58.5
91677,20090107,5.32,905253,0.1,5.72,53.2
91677,20090108,5.77,1300586,0.1,5.25,57.7
91677,20090109,5.92,1864698,0.1,6.01,59.2
91677,20090112,5.31,1055163,0.1,5.99,53.1
91677,20090113,5.21,838943,0.1,5.11,52.1
91677,20090114,4.86,904868,0.1,5.25,48.6
91677,20090115,5.35,991266,0.1,5,53.5
91677,20090116,5.2,766069,0.1,5.49,52
91677,20090120,4.82,611802,0.1,5.151,48.2
91677,20090121,4.91,497090,0.1,5.04,49.1
91677,20090122,4.55,426456,0.1,4.77,45.5
91677,20090123,4.82,674248,0.1,4.55,48.2
91677,20090126,4.91,712139,0.1,4.9,49.1
91677,20090127,4.81,380431,0.1,4.99,48.1
91677,20090128,4.98,542393,0.1,5,49.8
91677,20090129,4.92,245963,0.1,4.98,49.2
91677,20090130,4.96,559043,0.1,4.98,49.6
91677,20090202,4.64,244522,0.1,4.84,46.4
91677,20090203,4.71,242313,0.1,4.66,47.1
91677,20090204,4.71,441319,0.1,4.79,47.1
