PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,CFACPR,OPENPRC
84398,2007/01/03,140.57001,142.86000,141.37000,94808500,141.47000,141.46001,1,142.25000
84398,2007/01/04,140.61000,142.05000,141.67000,69634600,141.67000,141.64999,1,141.23000
84398,2007/01/05,140.38000,141.39999,140.53999,76688900,140.73000,140.75000,1,141.33000
84398,2007/01/08,140.25000,141.41000,141.19000,71655800,141.14999,141.16000,1,140.82001
84398,2007/01/09,140.39999,141.60001,141.07001,75681100,141.11000,141.12000,1,141.31000
84398,2007/01/10,140.30000,141.57001,141.53999,72447400,141.39000,141.39999,1,140.58000
84398,2007/01/11,141.50000,142.62000,142.16000,55532500,142.25999,142.27000,1,141.56000
84398,2007/01/12,142.11000,143.24001,143.24001,57631200,142.97000,142.95000,1,142.12000
84398,2007/01/16,142.73000,143.44000,142.96001,44988300,143.00999,143.03000,1,143.07001
84398,2007/01/17,142.73000,143.46001,143.02000,51597000,143.00999,143.02000,1,142.85001
84398,2007/01/18,142.31000,143.25999,142.53999,68234400,142.45000,142.46001,1,143.17000
84398,2007/01/19,142.46001,143.10001,142.82001,56983900,142.92999,142.94000,1,142.53999
84398,2007/01/22,141.92999,143.10001,142.38000,60261700,142.21001,142.22000,1,143.07001
84398,2007/01/23,142.06000,143.08000,142.80000,54077200,142.74001,142.75000,1,142.25999
84398,2007/01/24,142.91000,143.98000,143.95000,56469400,143.92000,143.91000,1,142.97000
84398,2007/01/25,142.00999,143.92000,142.25999,73607300,142.34000,142.35001,1,143.84000
84398,2007/01/26,141.58000,142.64999,142.16000,74585600,142.17999,142.19000,1,142.57001
84398,2007/01/29,141.74001,142.80000,142.05000,66216000,141.98000,141.99001,1,142.19000
84398,2007/01/30,142.06000,142.86000,142.78999,70410600,142.75000,142.75999,1,142.35001
84398,2007/01/31,142.39999,144.13000,143.75000,91887900,143.81000,143.82001,1,142.63000
84398,2007/02/01,143.91000,144.66000,144.61000,69316100,144.56000,144.57001,1,144.14999
84398,2007/02/02,144.38000,144.95000,144.81000,49607700,144.78999,144.80000,1,144.73000
84398,2007/02/05,144.34000,144.94000,144.85001,45735200,144.78000,144.69000,1,144.70000
84398,2007/02/06,144.33000,145.03000,144.89000,57082200,144.77000,144.78000,1,144.97000
84398,2007/02/07,144.57001,145.36000,145.21001,55694200,145.02000,145.03000,1,145.12000
84398,2007/02/08,144.27000,145.12000,145.02000,70646000,144.88000,144.89000,1,144.78000
84398,2007/02/09,143.39000,145.33000,143.94000,79084900,143.92000,143.86000,1,145.06000
84398,2007/02/12,143.19000,144.03999,143.45000,65657080,143.42000,143.42999,1,143.94000
84398,2007/02/13,143.75999,144.89999,144.66000,64107080,144.50999,144.52000,1,143.77000
84398,2007/02/14,144.78000,145.89999,145.61000,66062350,145.63000,145.64000,1,144.80000
84398,2007/02/15,145.42999,145.95000,145.80000,38721700,145.82001,145.84000,1,145.67000
84398,2007/02/16,145.23000,145.75999,145.73000,39842800,145.67999,145.69000,1,145.44000
84398,2007/02/20,144.06000,146.20000,146.03999,56923900,146.10001,146.11000,1,145.56000
84398,2007/02/21,145.35001,146.07001,145.98000,63973400,145.88000,145.89000,1,145.61000
84398,2007/02/22,145.17000,146.42000,145.87000,79079700,145.83000,145.84000,1,146.05000
84398,2007/02/23,144.75000,145.78999,145.30000,71971400,145.35001,145.34000,1,145.74001
84398,2007/02/26,144.75000,145.95000,145.17000,70074760,145.19000,145.20000,1,145.83000
84398,2007/02/27,139.00000,144.20000,139.50000,274909900,140.03999,140.05000,1,143.88000
84398,2007/02/28,139.80000,141.98000,140.92999,177549700,140.92000,140.92999,1,140.39000
84398,2007/03/01,138.05000,141.25000,140.50999,212841100,140.58000,140.59000,1,139.34000
84398,2007/03/02,138.66000,140.66000,138.67000,162600300,138.98000,138.98000,1,140.05000
84398,2007/03/05,137.33000,139.58000,137.35001,144137000,137.66000,137.67000,1,137.92999
84398,2007/03/06,137.71700,140.12000,139.70000,143379300,139.81000,139.82001,1,138.78000
84398,2007/03/07,139.39999,140.46001,139.56000,115224500,139.47000,139.48000,1,139.59000
84398,2007/03/08,140.07001,141.16000,140.74001,117892300,140.55000,140.55000,1,140.53999
84398,2007/03/09,140.08000,141.42000,140.78000,107765600,140.62000,140.62000,1,141.31000
84398,2007/03/12,140.16000,141.34000,140.99001,80371800,141.00999,141.02000,1,140.42000
84398,2007/03/13,138.03999,140.77000,138.25000,190080600,138.16000,138.16000,1,140.17999
84398,2007/03/14,136.75000,139.36000,139.28000,231826900,139.13000,139.14000,1,138.42999
84398,2007/03/15,138.80000,139.99001,139.47000,132413700,139.58000,139.59000,1,138.97000
