PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,CFACPR,OPENPRC
84398,1994/01/03,46.40625,46.65625,46.46875,960900,46.50000,46.53125,1,46.59375
84398,1994/01/04,46.46875,46.65625,46.65625,164300,46.65625,46.68750,1,46.53125
84398,1994/01/05,46.53125,46.78125,46.75000,710900,46.71875,46.75000,1,46.71875
84398,1994/01/06,46.68750,46.84375,46.75000,201000,46.71875,46.75000,1,46.81250
84398,1994/01/07,46.71875,47.06250,47.03125,775500,47.06250,47.09375,1,46.84375
84398,1994/01/10,46.96875,47.59375,47.59375,593700,47.56250,47.59375,1,47.09375
84398,1994/01/11,47.34375,47.56250,47.50000,295200,47.46875,47.50000,1,47.56250
84398,1994/01/12,47.18750,47.53125,47.34375,158400,47.34375,47.37500,1,47.53125
84398,1994/01/13,47.15625,47.31250,47.21875,244300,47.21875,47.25000,1,47.21875
84398,1994/01/14,47.37500,47.50000,47.40625,137200,47.43750,47.46875,1,47.37500
84398,1994/01/17,47.31250,47.46875,47.40625,17700,47.31250,47.34375,1,47.40625
84398,1994/01/18,47.37500,47.53125,47.46875,166400,47.40625,47.43750,1,47.46875
84398,1994/01/19,47.25000,47.46875,47.34375,200800,47.37500,47.40625,1,47.40625
84398,1994/01/20,47.37500,47.50000,47.46875,281100,47.50000,47.53125,1,47.40625
84398,1994/01/21,47.34375,47.53125,47.37500,85600,47.34375,47.37500,1,47.53125
84398,1994/01/24,47.18750,47.56250,47.18750,373800,47.25000,47.28125,1,47.34375
84398,1994/01/25,47.09375,47.25000,47.18750,310400,47.15625,47.18750,1,47.21875
84398,1994/01/26,47.12500,47.34375,47.31250,145100,47.37500,47.40625,1,47.18750
84398,1994/01/27,47.34375,47.81250,47.75000,344500,47.75000,47.78125,1,47.40625
84398,1994/01/28,47.87500,48.03125,47.87500,356500,47.87500,47.90625,1,47.93750
84398,1994/01/31,48.00000,48.31250,48.21875,313800,48.18750,48.21875,1,48.06250
84398,1994/02/01,47.90625,48.15625,47.96875,303600,48.00000,48.03125,1,48.15625
84398,1994/02/02,48.09375,48.28125,48.28125,307600,48.25000,48.28125,1,48.12500
84398,1994/02/03,47.90625,48.18750,48.06250,466100,48.03125,48.06250,1,48.18750
84398,1994/02/04,46.96875,48.12500,46.96875,1403200,46.93750,46.96875,1,48.06250
84398,1994/02/07,46.84375,47.31250,47.18750,516400,47.25000,47.28125,1,46.84375
84398,1994/02/08,47.03125,47.28125,47.21875,188200,47.25000,47.28125,1,47.28125
84398,1994/02/09,47.18750,47.43750,47.40625,144600,47.37500,47.40625,1,47.25000
84398,1994/02/10,47.00000,47.40625,47.00000,883900,47.03125,47.06250,1,47.37500
84398,1994/02/11,46.81250,47.28125,47.15625,519400,47.06250,47.09375,1,47.03125
84398,1994/02/14,47.00000,47.37500,47.21875,2742100,47.25000,47.28125,1,47.06250
84398,1994/02/15,47.25000,47.50000,47.46875,374700,47.46875,47.50000,1,47.31250
84398,1994/02/16,47.34375,47.53125,47.43750,287600,47.43750,47.46875,1,47.53125
84398,1994/02/17,47.03125,47.68750,47.15625,342400,47.15625,47.18750,1,47.65625
84398,1994/02/18,46.75000,47.21875,46.87500,313300,46.93750,46.96875,1,47.18750
84398,1994/02/22,47.00000,47.34375,47.34375,154500,47.37500,47.40625,1,47.00000
84398,1994/02/23,47.06250,47.43750,47.21875,391700,47.21875,47.25000,1,47.40625
84398,1994/02/24,46.56250,47.06250,46.59375,770800,46.53125,46.56250,1,47.06250
84398,1994/02/25,46.56250,46.81250,46.81250,531300,46.78125,46.81250,1,46.65625
84398,1994/02/28,46.81250,47.06250,46.81250,333000,46.78125,46.81250,1,46.93750
84398,1994/03/01,46.37500,46.90625,46.62500,423600,46.59375,46.62500,1,46.81250
84398,1994/03/02,45.93750,46.68750,46.68750,581500,46.68750,46.71875,1,46.06250
84398,1994/03/03,46.43750,46.62500,46.56250,223200,46.50000,46.53125,1,46.62500
84398,1994/03/04,46.40625,46.81250,46.68750,595800,46.65625,46.68750,1,46.56250
84398,1994/03/07,46.87500,47.00000,46.93750,539800,46.90625,46.93750,1,46.87500
84398,1994/03/08,46.68750,46.96875,46.75000,880300,46.75000,46.78125,1,46.96875
84398,1994/03/09,46.59375,47.00000,46.96875,2500100,46.93750,46.96875,1,46.81250
84398,1994/03/10,46.46875,46.96875,46.59375,207400,46.59375,46.62500,1,46.96875
84398,1994/03/11,46.43750,46.90625,46.84375,576600,46.84375,46.87500,1,46.68750
84398,1994/03/14,46.84375,47.03125,46.90625,345900,46.90625,46.93750,1,47.03125
84398,1994/03/15,46.84375,47.12500,46.87500,748600,46.87500,46.90625,1,47.03125
84398,1994/03/16,46.81250,47.25000,47.25000,455500,47.18750,47.21875,1,46.96875
84398,1994/03/17,47.09375,47.31250,47.25000,133000,47.28125,47.31250,1,47.09375
84398,1994/03/18,46.71875,47.03125,46.96875,365500,46.90625,46.93750,1,46.75000
