PERMNO,date,PERMCO,PRC,VOL,CFACPR,OPENPRC
75652,20070103,5310,31.26000,8475482,1,31.39000
75652,20070104,5310,31.64000,11550755,1,31.26000
75652,20070105,5310,32.21000,9297630,1,31.68000
75652,20070108,5310,32.88000,10214669,1,32.50000
75652,20070109,5310,32.82000,8120628,1,32.99000
75652,20070110,5310,32.89000,4135783,1,32.53000
75652,20070111,5310,32.63000,4142163,1,32.90000
75652,20070112,5310,32.73000,4037639,1,32.75000
75652,20070116,5310,32.90000,6697368,1,32.57000
75652,20070117,5310,32.88000,4201236,1,32.87000
75652,20070118,5310,33.93000,9939470,1,33.90000
75652,20070119,5310,34.17000,5652285,1,33.95000
75652,20070122,5310,34.69000,5894903,1,34.37000
75652,20070123,5310,34.96000,6953902,1,35.00000
75652,20070124,5310,34.73000,12421433,1,35.28000
75652,20070125,5310,34.40000,8658107,1,34.61000
75652,20070126,5310,34.61000,4447355,1,34.46000
75652,20070129,5310,34.76000,5354453,1,34.74000
75652,20070130,5310,34.76000,4473487,1,34.60000
75652,20070131,5310,35.10000,5539724,1,35.30000
75652,20070201,5310,35.43000,7592133,1,35.41000
75652,20070202,5310,35.32000,4306708,1,35.46000
75652,20070205,5310,35.05000,7509819,1,35.30000
75652,20070206,5310,34.88000,5176045,1,35.19000
75652,20070207,5310,34.82000,5149877,1,34.76000
75652,20070208,5310,34.91000,4582430,1,34.88000
75652,20070209,5310,35.00000,5469799,1,35.28000
75652,20070212,5310,35.36000,7501999,1,35.12000
75652,20070213,5310,36.95000,22841920,1,36.01000
75652,20070214,5310,37.96000,11354909,1,37.12000
75652,20070215,5310,37.40000,11594168,1,37.79000
75652,20070216,5310,37.71000,6754273,1,37.30000
75652,20070220,5310,38.12000,5414855,1,37.54000
75652,20070221,5310,38.34000,5939275,1,37.96000
75652,20070222,5310,37.74000,5884860,1,38.40000
75652,20070223,5310,37.63000,3044087,1,37.74000
75652,20070226,5310,37.51000,3721700,1,37.93500
75652,20070227,5310,35.51000,11860166,1,36.77000
75652,20070228,5310,35.56000,6409515,1,35.84000
75652,20070301,5310,34.81000,10179110,1,35.05000
75652,20070302,5310,34.70000,4076144,1,34.81000
75652,20070305,5310,34.72990,6360433,1,34.89800
75652,20070306,5310,36.03000,8658927,1,35.46000
75652,20070307,5310,36.20000,4491635,1,35.95000
75652,20070308,5310,36.58000,4436965,1,36.31000
75652,20070309,5310,36.56000,2914669,1,36.63000
75652,20070312,5310,36.60000,3671347,1,36.57000
75652,20070313,5310,35.80000,4755177,1,36.35000
75652,20070314,5310,36.36000,7047206,1,35.65000
75652,20070315,5310,36.27000,6175590,1,36.20000
75652,20070316,5310,36.55000,5921112,1,36.05000
75652,20070319,5310,36.54000,3289495,1,36.46000
75652,20070320,5310,36.58000,5201602,1,36.31000
75652,20070321,5310,37.32000,5280089,1,36.63000
75652,20070322,5310,36.97000,3397109,1,37.30000
75652,20070323,5310,37.24000,4556964,1,36.98000
75652,20070326,5310,37.24000,4159827,1,37.24000
75652,20070327,5310,36.81000,4253834,1,37.10000
75652,20070328,5310,36.69000,3803171,1,36.68000
75652,20070329,5310,36.85000,3513122,1,37.03000
75652,20070330,5310,37.43000,4342624,1,36.55000
75652,20070402,5310,37.41000,2680847,1,37.63000
75652,20070403,5310,37.95000,3511697,1,37.26000
75652,20070404,5310,37.98000,3991634,1,37.87000
75652,20070405,5310,37.90000,4944847,1,37.81000
75652,20070409,5310,37.81000,2621996,1,37.85000
75652,20070410,5310,37.99000,3783090,1,38.00000
75652,20070411,5310,37.61000,4438227,1,37.96000
75652,20070412,5310,37.10000,7065215,1,37.46000
75652,20070413,5310,37.14000,4519876,1,37.03000
75652,20070416,5310,36.94000,6776258,1,37.32000
75652,20070417,5310,37.21000,4018080,1,36.95000
75652,20070418,5310,37.29000,3015993,1,37.08000
75652,20070419,5310,37.15000,3073021,1,37.20000
75652,20070420,5310,36.81000,4467295,1,37.38000
75652,20070423,5310,36.16000,6222660,1,36.95000
75652,20070424,5310,36.91000,5219227,1,36.26000
75652,20070425,5310,37.72000,5336026,1,36.88000
75652,20070426,5310,39.10000,8423142,1,37.98000
75652,20070427,5310,39.01000,4204915,1,38.90000
75652,20070430,5310,38.31000,4369523,1,38.53000
75652,20070501,5310,38.95000,5728200,1,38.59000
75652,20070502,5310,39.58000,12173292,1,39.73000
75652,20070503,5310,39.23000,3670421,1,39.30000
75652,20070504,5310,39.15000,3682439,1,39.45000
75652,20070507,5310,38.90000,3206963,1,39.07000
75652,20070508,5310,38.66000,3142968,1,38.81000
75652,20070509,5310,38.41000,3590711,1,38.71000
75652,20070510,5310,38.45000,3367199,1,38.50000
75652,20070511,5310,39.95000,9800491,1,38.42000
75652,20070514,5310,39.98000,12256978,1,39.50000
75652,20070515,5310,39.87000,4794635,1,40.00000
75652,20070516,5310,40.46000,4971234,1,40.19000
75652,20070517,5310,40.25000,3726680,1,40.09000
75652,20070518,5310,40.04000,4699030,1,40.20000
75652,20070521,5310,40.56000,7368080,1,40.08000
75652,20070522,5310,40.58000,2548512,1,40.30000
75652,20070523,5310,40.40000,2953338,1,40.84000
75652,20070524,5310,39.92000,3452294,1,40.52000
75652,20070525,5310,40.03000,3249064,1,39.87000
75652,20070529,5310,39.84000,4148668,1,40.10000
75652,20070530,5310,39.42000,5298922,1,39.37000
75652,20070531,5310,39.20000,5079299,1,39.57000
75652,20070601,5310,39.46000,4765358,1,39.34000
75652,20070604,5310,39.61000,2346020,1,39.46000
75652,20070605,5310,39.53000,4118274,1,39.78000
75652,20070606,5310,39.30000,4852065,1,39.62000
75652,20070607,5310,38.98000,5123609,1,38.90000
75652,20070608,5310,38.88000,3749464,1,38.88000
75652,20070611,5310,39.68000,9929675,1,38.66000
75652,20070612,5310,39.78000,5672045,1,39.74500
75652,20070613,5310,40.05000,5356897,1,39.63000
75652,20070614,5310,39.73000,7393671,1,40.00000
75652,20070615,5310,40.00000,8101075,1,39.70000
75652,20070618,5310,40.08000,3925764,1,39.99000
75652,20070619,5310,39.77000,3334665,1,39.79000
75652,20070620,5310,39.58000,5787484,1,39.63000
75652,20070621,5310,40.05000,6819161,1,39.50000
75652,20070622,5310,40.48000,5278883,1,39.88000
75652,20070625,5310,40.64000,7634690,1,40.25000
75652,20070626,5310,40.99000,9311530,1,40.73000
75652,20070627,5310,41.25000,4708648,1,40.74000
75652,20070628,5310,41.03000,5750025,1,41.18000
75652,20070629,5310,41.25000,5000552,1,41.25000
75652,20070702,5310,41.74000,3784257,1,41.27000
75652,20070703,5310,41.48000,2965828,1,41.90000
75652,20070705,5310,41.27000,2672238,1,41.10000
75652,20070706,5310,41.44000,2245519,1,41.44000
75652,20070709,5310,41.37000,5217112,1,41.70000
75652,20070710,5310,41.37000,4279284,1,41.37000
75652,20070711,5310,42.12000,4341286,1,41.30000
75652,20070712,5310,43.18010,7439412,1,42.23000
75652,20070713,5310,43.56000,6857817,1,43.20000
75652,20070716,5310,43.44000,3600344,1,43.25000
75652,20070717,5310,43.85000,4950510,1,43.59000
75652,20070718,5310,43.97000,8240142,1,43.74000
75652,20070719,5310,43.64000,3995916,1,44.07000
75652,20070720,5310,42.90000,6791144,1,43.91000
75652,20070723,5310,43.61000,6030053,1,43.20000
75652,20070724,5310,43.44000,4584159,1,43.38000
75652,20070725,5310,43.29000,5155448,1,43.66000
75652,20070726,5310,42.84000,6031463,1,42.86000
75652,20070727,5310,42.27000,6276493,1,42.61000
75652,20070730,5310,42.33000,6627058,1,41.96000
75652,20070731,5310,42.02000,6765583,1,42.66000
75652,20070801,5310,42.60000,9270563,1,41.67000
75652,20070802,5310,43.38000,5553766,1,42.57000
75652,20070803,5310,42.24000,3522910,1,43.28000
75652,20070806,5310,42.50000,6052878,1,41.82000
75652,20070807,5310,43.30000,4899678,1,42.42000
75652,20070808,5310,43.80000,5225190,1,43.37000
75652,20070809,5310,43.04000,4035513,1,43.27000
75652,20070810,5310,43.33000,7876906,1,42.55000
75652,20070813,5310,43.14000,4474991,1,43.91000
75652,20070814,5310,42.89000,4411219,1,43.26000
75652,20070815,5310,42.49000,4219010,1,42.86000
75652,20070816,5310,40.84000,11635894,1,41.93000
75652,20070817,5310,41.25000,7996545,1,41.14000
75652,20070820,5310,41.02000,4302852,1,41.61000
75652,20070821,5310,40.90000,4159233,1,41.02000
75652,20070822,5310,41.02000,4668108,1,41.11000
75652,20070823,5310,40.85000,3840548,1,41.15000
75652,20070824,5310,41.76000,4333765,1,41.06000
75652,20070827,5310,41.93000,2599688,1,41.77000
75652,20070828,5310,41.43000,3607515,1,41.93000
75652,20070829,5310,42.43000,4011168,1,41.73000
75652,20070830,5310,42.81000,3734999,1,42.36000
75652,20070831,5310,43.00000,3112131,1,43.18000
75652,20070904,5310,43.63000,4729607,1,42.97000
75652,20070905,5310,43.74000,3325083,1,43.44000
75652,20070906,5310,43.50000,2787358,1,43.65000
75652,20070907,5310,43.39000,4007196,1,44.00000
75652,20070910,5310,43.28000,3390221,1,43.30000
75652,20070911,5310,43.35000,4044799,1,43.62300
75652,20070912,5310,44.01000,4163539,1,43.15000
75652,20070913,5310,43.36000,3513108,1,44.23000
75652,20070914,5310,43.56000,2985330,1,43.18000
75652,20070917,5310,43.29000,4891066,1,43.73000
75652,20070918,5310,43.95000,6190868,1,43.48000
75652,20070919,5310,44.26010,6767856,1,44.31000
75652,20070920,5310,43.64000,5442489,1,44.36000
75652,20070921,5310,43.26000,6694703,1,43.60000
75652,20070924,5310,43.98000,3278796,1,43.46000
75652,20070925,5310,44.19990,2708677,1,43.96000
75652,20070926,5310,44.43000,3152547,1,44.40000
75652,20070927,5310,44.71000,2141929,1,44.75000
75652,20070928,5310,44.47000,4065373,1,44.54000
75652,20071001,5310,44.93000,3830692,1,44.44000
75652,20071002,5310,44.81300,2158708,1,44.81000
75652,20071003,5310,44.31000,2947039,1,44.90000
75652,20071004,5310,43.84000,4140452,1,44.47000
75652,20071005,5310,43.84000,4202911,1,44.11000
75652,20071008,5310,44.18000,2434596,1,44.13000
75652,20071009,5310,43.88000,3280652,1,43.97000
75652,20071010,5310,44.26000,3899036,1,43.81000
75652,20071011,5310,44.87000,6475338,1,44.18000
75652,20071012,5310,45.23000,4607814,1,45.00000
75652,20071015,5310,45.29000,4213812,1,45.00000
75652,20071016,5310,45.09000,3142385,1,45.09000
75652,20071017,5310,45.40000,4001960,1,45.44000
75652,20071018,5310,45.24000,4403835,1,45.21000
75652,20071019,5310,44.42000,5260574,1,45.41000
75652,20071022,5310,44.34000,3614059,1,44.37000
75652,20071023,5310,44.72000,3761261,1,44.44000
75652,20071024,5310,44.20000,5491984,1,44.64000
75652,20071025,5310,44.57000,4409164,1,44.69000
75652,20071026,5310,44.54000,2829894,1,45.08000
75652,20071029,5310,44.49000,6573078,1,45.05000
75652,20071030,5310,43.94000,14829816,1,43.09000
75652,20071031,5310,44.01000,8098702,1,43.88000
75652,20071101,5310,43.64000,7855824,1,43.43000
75652,20071102,5310,44.06000,5759434,1,44.00000
75652,20071105,5310,44.21000,2727811,1,43.72000
75652,20071106,5310,44.80000,4297918,1,44.51000
75652,20071107,5310,44.30990,4943669,1,44.78000
75652,20071108,5310,44.65990,5376920,1,44.17000
75652,20071109,5310,44.93000,8623091,1,44.00000
75652,20071112,5310,44.28000,5568498,1,44.72000
75652,20071113,5310,45.24000,5963623,1,44.65000
75652,20071114,5310,44.72000,3403341,1,45.17000
75652,20071115,5310,44.33000,3331678,1,44.73000
75652,20071116,5310,44.62000,5205257,1,44.62000
75652,20071119,5310,44.23000,3380431,1,44.62000
75652,20071120,5310,44.75000,4552364,1,44.64000
75652,20071121,5310,43.70000,5481048,1,44.55000
75652,20071123,5310,43.77000,2632268,1,44.28000
75652,20071126,5310,43.63000,3920890,1,43.64000
75652,20071127,5310,43.89000,4834114,1,43.38000
75652,20071128,5310,44.44000,4993828,1,43.82000
75652,20071129,5310,44.35000,3624258,1,43.99000
75652,20071130,5310,44.63000,3760950,1,44.40000
75652,20071203,5310,45.08000,4682279,1,44.21000
75652,20071204,5310,44.85000,2438559,1,44.99000
75652,20071205,5310,45.17000,3724116,1,44.98000
75652,20071206,5310,44.98000,2247116,1,45.16000
75652,20071207,5310,45.59000,3818972,1,44.98000
75652,20071210,5310,45.21000,4996528,1,45.91000
75652,20071211,5310,44.89000,4757871,1,45.25000
75652,20071212,5310,45.39000,4310720,1,45.39000
75652,20071213,5310,45.40000,3229215,1,45.17000
75652,20071214,5310,44.69000,4275643,1,45.11000
75652,20071217,5310,43.74000,4494812,1,44.27000
75652,20071218,5310,44.22000,4273591,1,44.30000
75652,20071219,5310,44.06000,6187639,1,44.16000
75652,20071220,5310,44.56000,3572184,1,44.02000
75652,20071221,5310,45.17000,6347039,1,44.75000
75652,20071224,5310,46.48000,5568107,1,46.32000
75652,20071226,5310,46.81000,2830654,1,46.39000
75652,20071227,5310,46.71000,3681495,1,46.92000
75652,20071228,5310,46.83000,3152086,1,47.12000
75652,20071231,5310,46.48000,2124461,1,46.48000
75652,20080102,5310,47.00000,7529661,1,46.63000
75652,20080103,5310,48.72000,10739248,1,46.83000
75652,20080104,5310,47.83000,6953034,1,48.31000
75652,20080107,5310,47.91000,7814700,1,47.35000
75652,20080108,5310,49.26000,10514584,1,48.15000
75652,20080109,5310,49.65000,9129649,1,49.47000
75652,20080110,5310,47.41000,13199412,1,47.69000
