PERMNO,date,PRC,VOL,OPENPRC,NUMTRD
93436,2010/06/29,23.89000,19088009,19.00000,81188
93436,2010/06/30,23.83000,17607305,25.79000,103154
93436,2010/07/01,21.96000,8379501,25.00000,44930
93436,2010/07/02,19.20000,5255750,23.00000,29684
93436,2010/07/06,16.11000,7011230,20.00000,37508
93436,2010/07/07,15.80000,7040719,16.40000,36939
93436,2010/07/08,17.46000,7835892,16.14000,41413
93436,2010/07/09,17.40000,4131591,17.58000,20658
93436,2010/07/12,17.05000,2247990,17.95000,12465
93436,2010/07/13,18.14000,2728047,17.39400,14446
93436,2010/07/14,19.84000,4268066,17.94000,22525
93436,2010/07/15,19.89000,3808547,19.94000,19110
93436,2010/07/16,20.64000,2668775,20.70000,14195
93436,2010/07/19,21.91000,2523874,21.37000,10993
93436,2010/07/20,20.30000,1851514,21.85000,9112
93436,2010/07/21,20.22000,1273773,20.66000,5727
93436,2010/07/22,21.00000,978395,20.50000,4136
93436,2010/07/23,21.29000,671447,21.19000,3425
93436,2010/07/26,20.95000,937571,21.50000,4781
93436,2010/07/27,20.55000,635634,20.91000,3328
93436,2010/07/28,20.72000,478097,20.55000,2536
93436,2010/07/29,20.35000,627383,20.77000,2673
93436,2010/07/30,19.94000,434822,20.20000,2312
93436,2010/08/02,20.92000,731213,20.50000,3695
93436,2010/08/03,21.95000,1249962,21.00000,6468
93436,2010/08/04,21.26000,932114,21.95000,4208
93436,2010/08/05,20.45000,808496,21.54000,4147
93436,2010/08/06,19.59000,751942,20.10000,3234
93436,2010/08/09,19.60000,819983,19.90000,3339
93436,2010/08/10,19.03000,1292609,19.65000,4566
93436,2010/08/11,17.90000,811366,18.69000,4187
93436,2010/08/12,17.60000,700764,17.80000,3498
93436,2010/08/13,18.32000,642546,18.18000,2770
93436,2010/08/16,18.78000,492307,18.45000,2094
93436,2010/08/17,19.15000,456754,18.96000,2278
93436,2010/08/18,18.77000,611590,19.59000,3049
93436,2010/08/19,18.79000,590246,18.54000,2966
93436,2010/08/20,19.10000,302314,18.65000,1473
93436,2010/08/23,20.13000,1101037,19.09000,4677
93436,2010/08/24,19.20000,740732,19.25000,3165
93436,2010/08/25,19.90000,513752,19.16000,2638
93436,2010/08/26,19.75000,441594,19.89000,1896
93436,2010/08/27,19.70000,386159,19.75000,2229
93436,2010/08/30,19.87000,737459,19.70000,3354
93436,2010/08/31,19.48000,204381,19.66000,1241
93436,2010/09/01,20.45000,504923,19.62000,2629
93436,2010/09/02,21.06000,499110,20.37000,3142
93436,2010/09/03,21.05000,445393,20.87000,2641
93436,2010/09/07,20.54000,256434,20.61000,1879
93436,2010/09/08,20.90000,291836,20.66000,1288
93436,2010/09/09,20.71000,381020,21.00000,1705
93436,2010/09/10,20.17000,396003,20.75000,2284
93436,2010/09/13,20.72000,368580,20.89000,2117
93436,2010/09/14,21.12000,685746,20.54000,3587
93436,2010/09/15,21.98000,699330,20.98000,4020
93436,2010/09/16,20.94000,2728672,22.15000,14366
93436,2010/09/17,20.23000,1215634,21.02000,6262
93436,2010/09/20,21.05500,963045,20.67000,5735
93436,2010/09/21,20.77000,809709,20.89000,4803
93436,2010/09/22,19.87000,981001,20.87000,5187
93436,2010/09/23,19.56000,679723,19.89000,3934
93436,2010/09/24,20.10000,588518,19.95000,3078
93436,2010/09/27,20.53000,427654,20.40000,2498
93436,2010/09/28,21.40000,1238911,21.04000,6712
93436,2010/09/29,21.98000,1995338,21.19000,7599
93436,2010/09/30,20.40500,2217583,22.00000,8280
93436,2010/10/01,20.60000,614722,20.69000,3479
93436,2010/10/04,20.99000,660135,20.43000,3632
93436,2010/10/05,21.12000,337976,21.15000,1710
93436,2010/10/06,20.46000,317978,21.06000,1736
93436,2010/10/07,20.43000,143134,20.57000,816
93436,2010/10/08,20.43000,271150,20.43000,1564
93436,2010/10/11,20.24000,176473,20.44000,1033
93436,2010/10/12,20.24000,249176,20.20000,1489
93436,2010/10/13,20.54000,329688,20.64000,1754
93436,2010/10/14,20.75000,302617,21.00000,1814
93436,2010/10/15,20.54000,289966,20.89000,1846
93436,2010/10/18,20.23000,167746,20.52000,996
93436,2010/10/19,20.05000,249007,20.20000,1175
93436,2010/10/20,20.65000,315788,20.16000,1495
93436,2010/10/21,20.75000,448971,20.61000,1536
93436,2010/10/22,20.72000,166357,20.68000,865
93436,2010/10/25,20.85000,121903,20.94000,664
93436,2010/10/26,21.36000,669741,20.80000,3003
93436,2010/10/27,21.00000,364108,21.25000,1717
93436,2010/10/28,21.19000,228747,21.39000,1106
93436,2010/10/29,21.84000,289067,21.14000,1721
93436,2010/11/01,21.41000,464154,21.94000,2368
93436,2010/11/02,21.25000,330782,21.68000,1652
93436,2010/11/03,21.77000,380179,21.28000,1928
93436,2010/11/04,24.90000,1907344,22.60000,9157
93436,2010/11/05,24.44000,1028280,24.87000,4880
93436,2010/11/08,24.98000,525231,24.50000,3206
93436,2010/11/09,24.63000,975098,25.00000,4630
93436,2010/11/10,29.36000,3110651,24.48000,16007
93436,2010/11/11,28.03500,1976456,28.60000,12134
93436,2010/11/12,29.84000,2770113,28.25000,13685
93436,2010/11/15,30.80000,2672033,30.22000,14631
93436,2010/11/16,29.67000,1374832,31.00000,7288
93436,2010/11/17,29.49000,762485,30.20000,4061
