PERMNO,date,PRC,VOL,CFACPR,OPENPRC,NUMTRD
90979,2007/01/03,49.55000,834900,8.044098,50.75000,
90979,2007/01/04,49.23000,400400,8.044098,49.35000,
90979,2007/01/05,48.36000,646200,8.044098,48.70000,
90979,2007/01/08,48.99000,447700,8.044098,48.35000,
90979,2007/01/09,48.87000,412300,8.044098,48.96000,
90979,2007/01/10,49.97000,466000,8.044098,48.40000,
90979,2007/01/11,50.05000,504200,8.044098,50.00000,
90979,2007/01/12,49.60000,340200,8.044098,50.00000,
90979,2007/01/16,50.76000,457800,8.044098,49.70000,
90979,2007/01/17,50.90000,332200,8.044098,50.75000,
90979,2007/01/18,50.70000,525600,8.044098,50.75000,
90979,2007/01/19,51.07000,394800,8.044098,50.37000,
90979,2007/01/22,47.08000,2157300,8.044098,49.60000,
90979,2007/01/23,49.41000,1619800,8.044098,48.47000,
90979,2007/01/24,50.75000,679600,8.044098,48.95000,
90979,2007/01/25,49.80000,580000,8.044098,50.75000,
90979,2007/01/26,50.04000,329800,8.044098,49.87000,
90979,2007/01/29,51.45000,647400,8.044098,50.04000,
90979,2007/01/30,52.29000,589700,8.044098,51.50000,
90979,2007/01/31,50.80000,712100,8.044098,52.19000,
90979,2007/02/01,47.17000,6915900,8.044098,46.52000,
90979,2007/02/02,45.80000,1797300,8.044098,46.95000,
90979,2007/02/05,45.27000,1391900,8.044098,45.49000,
90979,2007/02/06,46.13000,900000,8.044098,45.30000,
90979,2007/02/07,47.94000,1408400,8.044098,46.94000,
90979,2007/02/08,48.87000,1415000,8.044098,48.49000,
90979,2007/02/09,48.08000,623800,8.044098,48.87000,
90979,2007/02/12,47.23000,728304,8.044098,48.25000,
90979,2007/02/13,46.86000,601800,8.044098,47.41000,
90979,2007/02/14,47.49000,548239,8.044098,46.88000,
90979,2007/02/15,47.56000,319000,8.044098,47.49000,
90979,2007/02/16,47.89000,392300,8.044098,47.56000,
90979,2007/02/20,48.81000,704200,8.044098,48.15000,
90979,2007/02/21,47.87000,488800,8.044098,48.81000,
90979,2007/02/22,47.80000,350500,8.044098,48.24000,
90979,2007/02/23,47.69000,283000,8.044098,47.80000,
90979,2007/02/26,47.57000,422000,8.044098,47.65000,
90979,2007/02/27,45.55000,959800,8.044098,46.66000,
90979,2007/02/28,45.90000,695400,8.044098,45.56000,
90979,2007/03/01,45.94000,823773,8.044098,45.50000,
90979,2007/03/02,44.78000,718400,8.044098,45.80000,
90979,2007/03/05,43.70000,699500,8.044098,44.00000,
90979,2007/03/06,46.01000,755300,8.044098,44.74000,
90979,2007/03/07,45.11000,559600,8.044098,46.02000,
90979,2007/03/08,46.17000,518200,8.044098,45.59000,
90979,2007/03/09,46.51000,531500,8.044098,46.65000,
90979,2007/03/12,46.74000,209700,8.044098,46.71000,
90979,2007/03/13,45.33000,860600,8.044098,46.75000,
90979,2007/03/14,46.64000,866500,8.044098,45.95000,
90979,2007/03/15,47.08000,605200,8.044098,46.52000,
90979,2007/03/16,46.83000,783100,8.044098,47.07000,
90979,2007/03/19,48.70000,993900,8.044098,47.12000,
90979,2007/03/20,48.95000,399500,8.044098,48.33000,
90979,2007/03/21,49.94000,675875,8.044098,48.95000,
90979,2007/03/22,49.99000,505700,8.044098,50.33000,
90979,2007/03/23,51.20000,765897,8.044098,49.79000,
90979,2007/03/26,51.00000,582400,8.044098,51.20000,
90979,2007/03/27,49.67000,841475,8.044098,50.80000,
90979,2007/03/28,49.40000,876600,8.044098,49.68000,
90979,2007/03/29,50.73000,683790,8.044098,50.00000,
90979,2007/03/30,51.30000,835329,8.044098,50.75000,
90979,2007/04/02,51.17000,440921,8.044098,51.26000,
