PERMNO,date,VOL,PRC,OPENPRC
48725,1/3/2007,1384200,23.12,23.1175
48725,1/4/2007,1496300,22.95,23.095
48725,1/5/2007,1610800,22.665,22.93
48725,1/8/2007,1220700,22.7,22.605
48725,1/9/2007,1706400,22.7125,22.755
48725,1/10/2007,2207500,22.5325,22.6
48725,1/11/2007,2172500,22.625,22.5575
48725,1/12/2007,2081200,22.99,22.6275
48725,1/16/2007,3710600,23.8575,22.99
48725,1/17/2007,1662700,23.51,23.7675
48725,1/18/2007,5205600,24.18,23.3075
48725,1/19/2007,2544800,24.0825,24.175
48725,1/22/2007,1629100,23.8275,24.115
48725,1/23/2007,4717500,24.555,23.525
48725,1/24/2007,2640900,24.24,24.375
48725,1/25/2007,2762000,24.1225,24.11
48725,1/26/2007,2029600,23.8575,24.185
48725,1/29/2007,2999200,23.89,23.8575
48725,1/30/2007,2098100,24.245,24.045
48725,1/31/2007,3610900,25.25,24.32
48725,2/1/2007,4268500,25.71,25.25
48725,2/2/2007,2093700,25.6,25.7125
48725,2/5/2007,1622500,25.61,25.5
48725,2/6/2007,2494300,24.985,25.1525
48725,2/7/2007,2045100,25.0375,25.0875
48725,2/8/2007,1575400,25.145,25.06
48725,2/9/2007,1643600,24.91,25.3
48725,2/12/2007,1214403,24.94,24.9725
48725,2/13/2007,1545819,25.7025,25.0025
48725,2/14/2007,3766726,26.1225,25.7675
48725,2/15/2007,3164000,25.56,25.9
48725,2/16/2007,1596500,25.4325,25.5825
48725,2/20/2007,1700700,25.675,25.375
48725,2/21/2007,1781900,26.0775,25.575
48725,2/22/2007,2079700,26.0275,26.2225
48725,2/23/2007,2056900,25.97,25.875
48725,2/26/2007,2496399,25.43,25.99
48725,2/27/2007,4043100,24.4975,25.445
48725,2/28/2007,2733300,24.645,24.7125
48725,3/1/2007,3020047,24.7225,24.375
48725,3/2/2007,2127000,24.455,24.72
48725,3/5/2007,2683606,24.0275,24.1575
48725,3/6/2007,2725200,24.0525,24.03
